date,time,PRICE_XLFsynprice_XLFsynprice_ON_XLF,PRICE_XLF_XLFsynprice_ON_XLF,BETA_XLFsynprice_ON_XLF,SPREAD_XLFsynprice_ON_XLF,Z_XLFsynprice_ON_XLF,Z_VOL_XLFsynprice_ON_XLF,market_close,SIGNAL_XLFsynprice_ON_XLF,POS_XLFsynprice_ON_XLF,POS_BETA_XLFsynprice_ON_XLF,PAIR_BASE_XLFsynprice_ON_XLF,PAIR_RET_XLFsynprice_ON_XLF,SL_XLFsynprice_ON_XLF,LOSS_XLFsynprice_ON_XLF,COOLDOWN_XLFsynprice_ON_XLF,CAPITAL_XLFsynprice_ON_XLF,REMAINING_CAPITAL,CAPITAL,PORT_RET
2023-03-10,16:10:00.000000000,149.88907381950304,33.375,5.183727952367023,-23.117846590746353,0.2217569028504201,0.582271766202612,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:11:00.000000000,149.67642521344632,33.32,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:12:00.000000000,149.55893944015804,33.3,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:13:00.000000000,149.6520865058752,33.3305,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:14:00.000000000,149.63389582963762,33.345,5.034049393384746,-18.226481192776703,0.8076465715513215,0.7599974488003238,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:15:00.000000000,149.50570757776364,33.315,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:16:00.000000000,149.5441603130103,33.34,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:17:00.000000000,149.5322659141822,33.34,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:18:00.000000000,149.58051301386845,33.4,4.800373082869476,-10.751947953972035,1.64433294111947,0.9989245822725195,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:19:00.000000000,149.6425856001397,33.41,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:20:00.000000000,149.90472246679875,33.46,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:21:00.000000000,150.16614221314717,33.525,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:22:00.000000000,150.18529574960232,33.515,4.533103177652844,-1.7416572494327625,2.35532116472294,1.2506972768943168,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:23:00.000000000,150.0962143982873,33.52,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:24:00.000000000,150.1236465858581,33.535,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:25:00.000000000,150.17608286755691,33.555,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:26:00.000000000,150.40591886354298,33.615,4.168712705915066,10.274641254208035,2.7438327897077723,1.4690911116377328,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:27:00.000000000,150.38695634774433,33.615,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:28:00.000000000,150.4711552405219,33.625,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:29:00.000000000,150.46365990446404,33.645,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:30:00.000000000,150.59913534090308,33.6901,3.788240131913277,22.97294647273158,2.7571502552581366,1.622695786802611,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:31:00.000000000,150.67209963448894,33.685,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:32:00.000000000,150.63946759607617,33.695,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:33:00.000000000,150.6165132272074,33.685,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:34:00.000000000,150.6994181311736,33.68,3.4401298830184652,34.835843671111675,2.609433221353498,1.719491876780112,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:35:00.000000000,150.72898088732038,33.69,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:36:00.000000000,150.60566643527986,33.66,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:37:00.000000000,150.47124569908726,33.58,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:38:00.000000000,150.65526840298713,33.635,3.171215219555348,43.99144449324302,2.3851498623877383,1.7653078122641903,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:39:00.000000000,150.6576647782813,33.66,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:40:00.000000000,150.73244907860618,33.645,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:41:00.000000000,150.42149056349632,33.535,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:42:00.000000000,150.47117295441356,33.585,2.831869421002558,55.362838450042645,2.265445948669748,1.7772166363310753,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:43:00.000000000,150.5286242205576,33.585,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:44:00.000000000,150.4077329406903,33.5003,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:45:00.000000000,150.0217473287949,33.405,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:46:00.000000000,149.76428720657634,33.335,2.485385682764818,66.91395547161113,2.160141580072328,1.766027182501915,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:47:00.000000000,149.77522864811957,33.35,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:48:00.000000000,149.7354833662388,33.356,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
2023-03-10,16:49:00.000000000,149.75527486577133,33.35,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153940862578108,1.0153940862578108,0.0
