date,time,PRICE_XLCsynprice_XLCsynprice_ON_XLC,PRICE_XLC_XLCsynprice_ON_XLC,BETA_XLCsynprice_ON_XLC,SPREAD_XLCsynprice_ON_XLC,Z_XLCsynprice_ON_XLC,Z_VOL_XLCsynprice_ON_XLC,market_close,SIGNAL_XLCsynprice_ON_XLC,POS_XLCsynprice_ON_XLC,POS_BETA_XLCsynprice_ON_XLC,PAIR_BASE_XLCsynprice_ON_XLC,PAIR_RET_XLCsynprice_ON_XLC,SL_XLCsynprice_ON_XLC,LOSS_XLCsynprice_ON_XLC,COOLDOWN_XLCsynprice_ON_XLC,CAPITAL_XLCsynprice_ON_XLC,REMAINING_CAPITAL,CAPITAL,PORT_RET
2022-05-02,13:55:00.000000000,127.28118617608621,60.18,,,,,0,0.0,-1.0,1.8861268947259795,240.78830270069565,-0.0006878970417424474,0.0,-0.0029895516143759737,0.0,0.9062437052927019,0.10111575715138676,1.0073594624440887,-0.000618890709359425
2022-05-02,13:56:00.000000000,127.42988209162922,60.21,,,,,0,0.0,-1.0,1.8861268947259795,240.99358242308045,-0.00038254395113090944,0.0,-0.0036753921524067534,0.0,0.9058970272449918,0.10111575715138676,1.0070127843963785,-0.0003441453231292796
2022-05-02,13:57:00.000000000,127.83697873933731,60.3,,,,,0,0.0,-1.0,1.8861268947259795,241.57043049131386,-0.0009848611933826598,0.0,-0.004056530104501688,0.0,0.9050048444176574,0.10111575715138676,1.006120601569044,-0.0008859697127572101
2022-05-02,13:58:00.000000000,127.87857616063238,60.33,3.400487113004319,-77.27281136691818,-1.3206984063751794,1.0681515228419474,0,0.0,-1.0,1.8861268947259795,241.66861171945072,0.00006203733427241269,0.0,-0.005037396178804721,0.0,0.9050609885057086,0.10111575715138676,1.0061767456570954,0.00005580254291957401
2022-05-02,13:59:00.000000000,127.50488664148003,60.18,,,,,0,0.0,-1.0,1.8861268947259795,241.01200316608947,0.0003755989836562727,0.0,-0.004975671351163058,0.0,0.9054009284931382,0.10111575715138676,1.0065166856445251,0.0003378531544254272
2022-05-02,14:00:00.000000000,127.41381394804787,60.18,,,,,0,0.0,-1.0,1.8861268947259795,240.92093047265732,0.0003778761731190285,0.0,-0.004601941224609329,0.0,0.9057430579311356,0.10111575715138676,1.0068588150825224,0.00033991432320686326
2022-05-02,14:01:00.000000000,127.12419054443751,60.115,,,,,0,0.0,-1.0,1.8861268947259795,240.50870882088975,0.0006932778946415808,0.0,-0.004225804015429158,0.0,0.9063709895714244,0.10111575715138676,1.0074867467228112,0.000623654112058782
2022-05-02,14:02:00.000000000,127.15321086784394,60.1299,3.433885466910983,-79.32597886896676,-1.3430225836762963,1.0916159776001182,0,0.0,-1.0,1.8861268947259795,240.56583243502763,-3.812887606028977e-6,0.0,-0.003535455777298524,0.0,0.9063675336807118,0.10111575715138676,1.0074832908320985,-3.4302096022134245e-6
2022-05-02,14:03:00.000000000,126.93163456700586,60.05,,,,,0,0.0,-1.0,1.8861268947259795,240.19355459530092,0.0002946169089436701,0.0,-0.003539255184609069,0.0,0.9066345648818517,0.10111575715138676,1.0077503220332384,0.00026504777158077266
2022-05-02,14:04:00.000000000,127.09960794872453,60.1,,,,,0,0.0,-1.0,1.8861268947259795,240.4558343217559,-0.00030669864187853735,0.0,-0.003245681000087819,0.0,0.9063565012921223,0.10111575715138676,1.0074722584435092,-0.0002759250814906603
2022-05-02,14:05:00.000000000,126.6270824678019,59.92,,,,,0,0.0,-1.0,1.8861268947259795,239.6438059997826,0.0005532102818263927,0.0,-0.003551384196011642,0.0,0.9068579070276374,0.10111575715138676,1.007973664179024,0.000497686890445471
