date,time,PRICE_XLKsynprice_XLKsynprice_ON_XLK,PRICE_XLK_XLKsynprice_ON_XLK,BETA_XLKsynprice_ON_XLK,SPREAD_XLKsynprice_ON_XLK,Z_XLKsynprice_ON_XLK,Z_VOL_XLKsynprice_ON_XLK,market_close,SIGNAL_XLKsynprice_ON_XLK,POS_XLKsynprice_ON_XLK,POS_BETA_XLKsynprice_ON_XLK,PAIR_BASE_XLKsynprice_ON_XLK,PAIR_RET_XLKsynprice_ON_XLK,SL_XLKsynprice_ON_XLK,LOSS_XLKsynprice_ON_XLK,COOLDOWN_XLKsynprice_ON_XLK,CAPITAL_XLKsynprice_ON_XLK,REMAINING_CAPITAL,CAPITAL,PORT_RET
2022-10-13,15:30:00.000000000,163.67543780900948,118.41,1.167036682001682,25.486624293190317,1.8774944578320192,1.4883839214571533,0,-1.0,-1.0,1.3773116757546235,326.7629133351145,-0.000019458045382910922,0.0,-0.0011465881796833832,0.0,0.894874843651655,0.09931640136831654,0.9941912450199716,-0.000017514285358521523
2022-10-13,15:31:00.000000000,163.42383702057586,118.24,,,,,0,0.0,-1.0,1.3773116757546235,326.27716956180257,0.00005342651458555453,0.0,-0.0011660239147014417,0.0,0.8949226536955416,0.09931640136831654,0.9942390550638581,0.00004808938333145562
2022-10-13,15:32:00.000000000,163.31602346971164,118.15,,,,,0,0.0,-1.0,1.3773116757546235,326.04539796012045,-0.000049480936638474646,0.0,-0.0011126596967097058,0.0,0.8948783720844178,0.09931640136831654,0.9941947734527343,-0.00004453819320239181
2022-10-13,15:33:00.000000000,163.5986598347885,118.3,1.18152672805748,23.82404790558863,1.6758942205030776,1.4684406079358994,0,-1.0,-1.0,1.3773116757546235,326.53463107656046,-0.00023321787146640175,0.0,-0.0011620855779040928,0.0,0.894669670455259,0.09931640136831654,0.9939860718235756,-0.00020992026384725353
2022-10-13,15:34:00.000000000,163.61773998859496,118.35,,,,,0,0.0,-1.0,1.3773116757546235,326.6225768141546,0.0001524660028160475,0.0,-0.0013950324302455241,0.0,0.894806077163754,0.09931640136831654,0.9941224785320706,0.00013723201195844253
2022-10-13,15:35:00.000000000,163.98618784692894,118.65,,,,,0,0.0,-1.0,1.3773116757546235,327.404218175215,0.00013699495248874568,0.0,-0.0012427791224479678,0.0,0.8949286610797818,0.09931640136831654,0.9942450624480983,0.00012330866535551635
2022-10-13,15:36:00.000000000,164.30775873829265,118.86,1.1974933657322804,21.973697287353815,1.4787830939641993,1.4452883634250995,0,-1.0,-1.0,1.3773116757546235,328.01502451848717,-0.0000987630508716703,0.0,-0.001105954424425959,0.0,0.8948402751949011,0.09931640136831654,0.9941566765632176,-0.00008889748435165783
2022-10-13,15:37:00.000000000,164.43344939679326,118.95,,,,,0,0.0,-1.0,1.3773116757546235,328.2646732278057,-5.282098541799909e-6,0.0,-0.0012046082478645026,0.0,0.8948355485603883,0.09931640136831654,0.9941519499287048,-4.754416103833847e-6
2022-10-13,15:38:00.000000000,165.35379153295855,119.7,,,,,0,0.0,-1.0,1.3773116757546235,330.217999120787,0.0003431426828330134,0.0,-0.0012098839835469333,0.0,0.8951426048312157,0.09931640136831654,0.9944590061995322,0.00030886251427602056
2022-10-13,15:39:00.000000000,165.37341583850142,119.74,1.2097485084132766,20.51812944109568,1.3211654281774623,1.4206575312975858,0,-1.0,-1.0,1.3773116757546235,330.29271589336,0.0001074083229313253,0.0,-0.0008671564635498452,0.0,0.8952387505971849,0.09931640136831654,0.9945551519655015,0.00009668147743637495
2022-10-13,15:40:00.000000000,166.31179919411787,120.4,,,,,0,0.0,-1.0,1.3773116757546235,332.14012495497457,-0.00008888373314254023,0.0,-0.0007598412804400434,0.0,0.895159178434978,0.09931640136831654,0.9944755798032946,-0.00008000779247850795
2022-10-13,15:41:00.000000000,165.71502932424383,119.87,,,,,0,0.0,-1.0,1.3773116757546235,330.81337989695055,-0.0004010515691049675,0.0,-0.0008486574760528942,0.0,0.894800173441868,0.09931640136831654,0.9941165748101846,-0.0003609993049613599
