date,time,PRICE_XLYsynprice_XLYsynprice_ON_XLY,PRICE_XLY_XLYsynprice_ON_XLY,BETA_XLYsynprice_ON_XLY,SPREAD_XLYsynprice_ON_XLY,Z_XLYsynprice_ON_XLY,Z_VOL_XLYsynprice_ON_XLY,market_close,SIGNAL_XLYsynprice_ON_XLY,POS_XLYsynprice_ON_XLY,POS_BETA_XLYsynprice_ON_XLY,PAIR_BASE_XLYsynprice_ON_XLY,PAIR_RET_XLYsynprice_ON_XLY,SL_XLYsynprice_ON_XLY,LOSS_XLYsynprice_ON_XLY,COOLDOWN_XLYsynprice_ON_XLY,CAPITAL_XLYsynprice_ON_XLY,REMAINING_CAPITAL,CAPITAL,PORT_RET
2024-01-26,18:39:00.000000000,398.30740907084106,171.67,,,,,0,0.0,1.0,1.6379420768493271,679.4929254035651,0.00027891112005439753,0.0,-0.0005807840131305531,0.0,0.8996690261867258,0.09999999999999998,0.9996690261867258,0.0002510037706727137
2024-01-26,18:40:00.000000000,398.3373576950572,171.62,,,,,0,0.0,1.0,1.6379420768493271,679.4409769239387,0.00016460175503986245,0.0,-0.0003020348801958672,0.0,0.8998171132873911,0.09999999999999998,0.9998171132873911,0.00014813612984505137
2024-01-26,18:41:00.000000000,398.3422766945715,171.58,,,,,0,0.0,1.0,1.6379420768493271,679.3803782403791,0.00010366858193796694,0.0,-0.0001374828406274231,0.0,0.8999103960515291,0.09999999999999998,0.9999103960515291,0.00009329982743672984
2024-01-26,18:42:00.000000000,398.3359780060995,171.54,0.7673965026567003,266.6967819403691,0.03196688576228616,0.6859830956299262,0,0.0,1.0,1.6379420768493271,679.3085618688331,0.00008716618333214516,0.0,-0.0000338285113405945,0.0,0.8999888378060938,0.09999999999999998,0.9999888378060938,0.00007844878388551756
2024-01-26,18:43:00.000000000,398.19838223958635,171.54,,,,,0,0.0,1.0,1.6379420768493271,679.1709661023199,-0.00020255267522993145,0.0,0.0,0.0,0.8998065426593191,0.09999999999999998,0.9998065426593191,-0.00018229718161119217
2024-01-26,18:44:00.000000000,398.19045246213113,171.57,,,,,0,0.0,1.0,1.6379420768493271,679.2121745871702,-0.00008402602968761444,0.0,-0.00020255267522995002,0.0,0.8997309354880526,0.09999999999999998,0.9997309354880526,-0.00007562180085902573
2024-01-26,18:45:00.000000000,398.2257969930224,171.6,,,,,0,0.0,1.0,1.6379420768493271,679.2966573803669,-0.00002030842780838874,0.0,-0.0002865616852203434,0.0,0.8997126633673023,0.09999999999999998,0.9997126633673022,-0.000018277038452771154
2024-01-26,18:46:00.000000000,398.1468757012477,171.49,0.6984798806605149,278.364560966776,0.09344949435294064,0.6899200910160224,0,0.0,1.0,1.6379420768493271,679.0375624601388,0.00014905466643857493,0.0,-0.00030686429341142407,0.0,0.8998467697382311,0.09999999999999998,0.9998467697382311,0.0001341449156771746
2024-01-26,18:47:00.000000000,397.92685017600604,171.5,,,,,0,0.0,1.0,1.6379420768493271,678.8339163556657,-0.0003481470821048857,0.0,-0.00015785536652779264,0.0,0.8995334907110052,0.09999999999999998,0.9995334907110052,-0.0003133270384100027
2024-01-26,18:48:00.000000000,397.92210848392705,171.53,,,,,0,0.0,1.0,1.6379420768493271,678.8783129258921,-0.00007937133529474878,0.0,-0.0005059474917473716,0.0,0.899462093536705,0.09999999999999998,0.999462093536705,-0.00007143049729066207
2024-01-26,18:49:00.000000000,397.92828897427876,171.515,,,,,0,0.0,1.0,1.6379420768493271,678.8599242850911,0.000045294747112986735,0.0,-0.0005852786693142376,0.0,0.8995028344447695,0.09999999999999998,0.9995028344447695,0.000040762834656720116
2024-01-26,18:50:00.000000000,397.9366775775706,171.53,0.6786083818336048,281.5349818416524,0.15515309678755865,0.694820291436659,0,0.0,1.0,1.6379420768493271,678.8928820195357,-0.000023834855000389945,0.0,-0.0005400104322504928,0.0,0.8994813949251381,0.09999999999999998,0.9994813949251381,-0.00002145018392400582
2024-01-26,18:51:00.000000000,397.94178698314886,171.55,,,,,0,0.0,1.0,1.6379420768493271,678.9307502666509,-0.00004072724385689787,0.0,-0.0005638324161805208,0.0,0.8994447615270222,0.09999999999999998,0.9994447615270222,-0.00003665240623976358
2024-01-26,18:52:00.000000000,397.95141705133193,171.54,,,,,0,0.0,1.0,1.6379420768493271,678.9240009140656,0.00003830948729504926,0.0,-0.0006045366966971333,0.0,0.8994792187946866,0.09999999999999998,0.9994792187946866,0.000034476410293783676
2024-01-26,18:53:00.000000000,398.22524652536805,171.48,,,,,0,0.0,1.0,1.6379420768493271,679.0995538634907,0.0005480819622610449,0.0,-0.0005662503688929066,0.0,0.8999722071299365,0.09999999999999998,0.9999722071299365,0.0004932452080838919
2024-01-26,18:54:00.000000000,398.22189005343705,171.51,0.6279181939543067,290.5276406083339,0.2581976386166069,0.7018043761409705,0,0.0,1.0,1.6379420768493271,679.1453356538651,-0.00007730049878226464,0.0,-0.00001847875824534384,0.0,0.8999026388294352,0.09999999999999998,0.9999026388294352,-0.00006957023405778581
2024-01-26,18:55:00.000000000,398.23487051993106,171.485,,,,,0,0.0,1.0,1.6379420768493271,679.1173675684379,0.00007940718368224103,0.0,-0.0000957778286103661,0.0,0.8999740975635729,0.09999999999999998,0.9999740975635729,0.00007146569212115944
2024-01-26,18:56:00.000000000,398.1842302380054,171.47,,,,,0,0.0,1.0,1.6379420768493271,679.0421581553595,-0.0000383897570846319,0.0,-0.00001637825037570373,0.0,0.899939547776585,0.09999999999999998,0.999939547776585,-0.00003455068193475644
2024-01-26,18:57:00.000000000,398.23594866777023,171.525,,,,,0,0.0,1.0,1.6379420768493271,679.1839633993511,-0.00005650368537662644,0.0,-0.00005476737870324655,0.0,0.8998886978755195,0.09999999999999998,0.9998886978755195,-0.000050852975240940034
2024-01-26,18:58:00.000000000,398.2653223169694,171.56,0.587880041371741,297.4086224192335,0.36486175924238984,0.710953323549802,0,0.0,1.0,1.6379420768493271,679.2706650212399,-0.00004115869189646804,0.0,-0.00011126796952110052,0.0,0.8998516596338625,0.09999999999999998,0.9998516596338625,-0.00003704236455088726
2024-01-26,18:59:00.000000000,398.2723855338815,171.53,,,,,0,0.0,1.0,1.6379420768493271,679.2285899758466,0.00008273797487754016,0.0,-0.0001524220817735733,0.0,0.8999261115378708,0.09999999999999998,0.9999261115378708,0.0000744629498695909
2024-01-26,19:00:00.000000000,398.2194202502581,171.52,,,,,0,0.0,1.0,1.6379420768493271,679.1592452714547,-0.000053863844064937365,0.0,-0.00006969671799028632,0.0,0.899877638058129,0.09999999999999998,0.999877638058129,-0.00004847706163732809
2024-01-26,19:01:00.000000000,398.45612441094113,171.58,,,,,0,0.0,1.0,1.6379420768493271,679.4942259567488,0.00020382205945927945,0.0,-0.00012355680792208723,0.0,0.9000610529715795,0.09999999999999998,1.0000610529715794,0.0001834373592019029
2024-01-26,19:02:00.000000000,398.4933099105781,171.61,0.5428479533681517,305.33517263306953,0.48394690662259077,0.7226086699900406,0,0.0,1.0,1.6379420768493271,679.5805497186911,-0.000017590675846685842,0.0,0.0,0.0,0.9000452202893544,0.09999999999999998,1.0000452202893544,-0.000015831715651761892
2024-01-26,19:03:00.000000000,398.1697519102591,171.65,,,,,0,0.0,1.0,1.6379420768493271,679.322509401446,-0.0005725232771214563,0.0,-0.00001759067584672369,0.0,0.8995299234502768,0.09999999999999998,0.9995299234502768,-0.0005152735382590868
2024-01-26,19:04:00.000000000,398.5460171278774,171.68,,,,,0,0.0,1.0,1.6379420768493271,679.7479128813699,0.00048154882369654147,0.0,-0.0005901038818967308,0.0,0.8999630910267941,0.09999999999999998,0.999963091026794,0.00043337129419996153
2024-01-26,19:05:00.000000000,398.37995027423443,171.7,,,,,0,0.0,1.0,1.6379420768493271,679.6146048692639,-0.0002924991624279511,0.0,-0.00010883922203053231,0.0,0.8996998525764527,0.09999999999999998,0.9996998525764527,-0.0002632481665609004
2024-01-26,19:06:00.000000000,398.38501936154114,171.74,0.5319559905482675,307.02689754478166,0.581444714904065,0.7359944181041848,0,0.0,1.0,1.6379420768493271,679.6851916396446,-0.00008894540425440997,0.0,-0.0004013065490771073,0.0,0.8996198284093576,0.09999999999999998,0.9996198284093576,-0.00008004819335406672
2024-01-26,19:07:00.000000000,398.5925418365722,171.66,,,,,0,0.0,1.0,1.6379420768493271,679.7616787485276,0.0004981097798560061,0.0,-0.000490216258958398,0.0,0.9000679378440407,0.09999999999999998,1.0000679378440407,0.0004482798579497469
2024-01-26,19:08:00.000000000,398.58080434530854,171.66,,,,,0,0.0,1.0,1.6379420768493271,679.749941257264,-0.000017267068195530605,0.0,0.0,0.0,0.9000523963095773,0.09999999999999998,1.0000523963095773,-0.000015540478676753597
2024-01-26,19:09:00.000000000,398.56730818276924,171.66,,,,,0,0.0,1.0,1.6379420768493271,679.7364450947248,-0.000019854599052020595,0.0,-0.000017267068195492286,0.0,0.9000345261301228,0.09999999999999998,1.000034526130123,-0.00001786924317202955
2024-01-26,19:10:00.000000000,398.5586517015247,171.68,0.5077407813556482,311.389714358387,0.7262866565320357,0.7526118200267259,0,0.0,1.0,1.6379420768493271,679.7605474550171,-0.00006092850115715993,0.0,-0.00003712132441680005,0.0,0.899979688375456,0.09999999999999998,0.999979688375456,-0.00005483586139677282
2024-01-26,19:11:00.000000000,398.5707588260724,171.65,,,,,0,0.0,1.0,1.6379420768493271,679.7235163172594,0.0000900984722965431,0.0,-0.00009804756382725266,0.0,0.9000607751704766,0.09999999999999998,1.0000607751704766,0.00008108844205860284
