,number,value,datetime_start,datetime_complete,duration,params_ALGN_CELG_beta_win,params_ALGN_CELG_trade_freq,params_ALGN_CELG_z_entry,params_ALGN_CELG_z_exit,params_ALGN_CELG_z_win,params_ATVI_TTWO_beta_win,params_ATVI_TTWO_trade_freq,params_ATVI_TTWO_z_entry,params_ATVI_TTWO_z_exit,params_ATVI_TTWO_z_win,params_AVGO_CELG_beta_win,params_AVGO_CELG_trade_freq,params_AVGO_CELG_z_entry,params_AVGO_CELG_z_exit,params_AVGO_CELG_z_win,params_BIDU_CELG_beta_win,params_BIDU_CELG_trade_freq,params_BIDU_CELG_z_entry,params_BIDU_CELG_z_exit,params_BIDU_CELG_z_win,params_BIIB_FOXA_beta_win,params_BIIB_FOXA_trade_freq,params_BIIB_FOXA_z_entry,params_BIIB_FOXA_z_exit,params_BIIB_FOXA_z_win,params_FOX_BIIB_beta_win,params_FOX_BIIB_trade_freq,params_FOX_BIIB_z_entry,params_FOX_BIIB_z_exit,params_FOX_BIIB_z_win,params_FOX_FOXA_beta_win,params_FOX_FOXA_trade_freq,params_FOX_FOXA_z_entry,params_FOX_FOXA_z_exit,params_FOX_FOXA_z_win,params_NTES_CELG_beta_win,params_NTES_CELG_trade_freq,params_NTES_CELG_z_entry,params_NTES_CELG_z_exit,params_NTES_CELG_z_win,params_PEP_CELG_beta_win,params_PEP_CELG_trade_freq,params_PEP_CELG_z_entry,params_PEP_CELG_z_exit,params_PEP_CELG_z_win,params_TTWO_HSIC_beta_win,params_TTWO_HSIC_trade_freq,params_TTWO_HSIC_z_entry,params_TTWO_HSIC_z_exit,params_TTWO_HSIC_z_win,params_pairs_to_trade,state
32,32,-2.2664949314661276,2025-05-29 23:36:22.882180,2025-05-29 23:36:23.652055,0 days 00:00:00.769875,790.0,13m,1.4000000000000001,-2.2,30.0,,,,,,330,35m,3.4000000000000004,-2.9,570,,,,,,560.0,7m,1.0,-2.6,470.0,320,10m,2.1,0.0,140,,,,,,,,,,,200.0,24m,2.3000000000000003,-2.3,610.0,650.0,39m,2.8000000000000003,-1.5,560.0,3,COMPLETE
33,33,-0.27213070999906475,2025-05-29 23:36:23.652055,2025-05-29 23:36:24.436103,0 days 00:00:00.784048,690.0,28m,2.8000000000000003,-0.6999999999999997,660.0,,,,,,490,44m,2.8000000000000003,-1.4,770,,,,,,790.0,35m,0.5,-2.0,100.0,440,17m,2.4000000000000004,-1.1999999999999997,340,,,,,,,,,,,390.0,59m,1.1,-1.5999999999999999,840.0,180.0,55m,2.0,-2.9,160.0,3,COMPLETE
34,34,0.7128384156850847,2025-05-29 23:36:24.446549,2025-05-29 23:36:25.401704,0 days 00:00:00.955155,520.0,50m,1.7000000000000002,-1.0999999999999996,880.0,920.0,26m,0.2,-2.0,20.0,310,16m,2.5,-3.0,330,,,,,,500.0,16m,1.2000000000000002,-2.8,310.0,240,21m,1.3,-1.9,660,,,,,,340.0,55m,2.4000000000000004,0.0,320.0,170.0,21m,3.0,-2.6,720.0,710.0,21m,3.2,-0.8999999999999999,750.0,4,COMPLETE
35,35,-3.702320629112586,2025-05-29 23:36:25.409297,2025-05-29 23:36:26.170158,0 days 00:00:00.760861,880.0,48m,0.8,-2.6,410.0,,,,,,480,13m,1.4000000000000001,-0.5999999999999996,490,,,,,,700.0,56m,0.9,-3.4,230.0,530,27m,1.8,-0.2999999999999998,460,,,,,,,,,,,430.0,14m,1.7000000000000002,-1.0,490.0,990.0,40m,0.8,-1.7999999999999998,520.0,3,COMPLETE
36,36,1.2295087367076403,2025-05-29 23:36:26.170158,2025-05-29 23:36:26.757332,0 days 00:00:00.587174,,,,,,,,,,,150,24m,3.2,-1.4,620,,,,,,880.0,41m,1.8,-3.0,430.0,350,14m,2.0,-0.6999999999999997,840,,,,,,,,,,,10.0,30m,2.3000000000000003,-2.0,630.0,,,,,,2,COMPLETE
37,37,,2025-05-29 23:36:26.761362,2025-05-29 23:36:27.500930,0 days 00:00:00.739568,900.0,54m,2.3000000000000003,-2.2,770.0,,,,,,590,19m,1.9000000000000001,-3.1,750,,,,,,840.0,38m,0.30000000000000004,-2.5,100.0,690,32m,3.0,-1.5,100,,,,,,,,,,,1000.0,27m,2.8000000000000003,-0.3999999999999999,880.0,20.0,45m,2.4000000000000004,-3.3,380.0,3,FAIL
38,38,-1.4597400535190164,2025-05-29 23:36:27.511058,2025-05-29 23:36:28.295897,0 days 00:00:00.784839,900.0,4m,2.2,-3.1,780.0,,,,,,560,12m,3.5,-3.2,750,,,,,,440.0,10m,2.4000000000000004,-2.5,70.0,160,11m,3.0,-1.5,110,,,,,,,,,,,280.0,17m,2.8000000000000003,-1.5,890.0,420.0,36m,2.4000000000000004,-3.4,400.0,3,COMPLETE
39,39,,2025-05-29 23:36:28.305548,2025-05-29 23:36:28.634487,0 days 00:00:00.328939,,,,,,,,,,,790,15m,2.0,-2.6,840,,,,,,,,,,,700,52m,2.3000000000000003,-3.0,910,,,,,,,,,,,,,,,,,,,,,1,FAIL
40,40,3.434329090905736,2025-05-29 23:36:28.637067,2025-05-29 23:36:28.973217,0 days 00:00:00.336150,,,,,,,,,,,790,55m,2.0,-2.6,300,,,,,,,,,,,470,23m,2.6,-3.1,230,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
41,41,,2025-05-29 23:36:28.977185,2025-05-29 23:36:29.303385,0 days 00:00:00.326200,,,,,,,,,,,800,55m,1.9000000000000001,-2.6,280,,,,,,,,,,,690,23m,3.5,-3.3,190,,,,,,,,,,,,,,,,,,,,,1,FAIL
