,number,value,datetime_start,datetime_complete,duration,params_AAL_MAR_beta_win,params_AAL_MAR_trade_freq,params_AAL_MAR_z_entry,params_AAL_MAR_z_exit,params_AAL_MAR_z_win,params_ADSK_CSX_beta_win,params_ADSK_CSX_trade_freq,params_ADSK_CSX_z_entry,params_ADSK_CSX_z_exit,params_ADSK_CSX_z_win,params_ALGN_MAR_beta_win,params_ALGN_MAR_trade_freq,params_ALGN_MAR_z_entry,params_ALGN_MAR_z_exit,params_ALGN_MAR_z_win,params_AMGN_NTAP_beta_win,params_AMGN_NTAP_trade_freq,params_AMGN_NTAP_z_entry,params_AMGN_NTAP_z_exit,params_AMGN_NTAP_z_win,params_BIDU_INCY_beta_win,params_BIDU_INCY_trade_freq,params_BIDU_INCY_z_entry,params_BIDU_INCY_z_exit,params_BIDU_INCY_z_win,params_INTU_MNST_beta_win,params_INTU_MNST_trade_freq,params_INTU_MNST_z_entry,params_INTU_MNST_z_exit,params_INTU_MNST_z_win,params_SBUX_EA_beta_win,params_SBUX_EA_trade_freq,params_SBUX_EA_z_entry,params_SBUX_EA_z_exit,params_SBUX_EA_z_win,params_UAL_ALGN_beta_win,params_UAL_ALGN_trade_freq,params_UAL_ALGN_z_entry,params_UAL_ALGN_z_exit,params_UAL_ALGN_z_win,params_UAL_MAR_beta_win,params_UAL_MAR_trade_freq,params_UAL_MAR_z_entry,params_UAL_MAR_z_exit,params_UAL_MAR_z_win,params_WDC_MAR_beta_win,params_WDC_MAR_trade_freq,params_WDC_MAR_z_entry,params_WDC_MAR_z_exit,params_WDC_MAR_z_win,params_pairs_to_trade,state
151,151,2.2674854733710474,2025-05-29 23:47:31.581338,2025-05-29 23:47:32.463773,0 days 00:00:00.882435,,,,,,580.0,1m,1.7000000000000002,-1.7999999999999998,260.0,870.0,29m,0.2,-0.8999999999999999,940.0,500,2m,0.4,0.0,1000,,,,,,370.0,10m,2.1,-2.4,590.0,,,,,,740,56m,1.3,-1.4,40,970.0,13m,3.4000000000000004,-2.2,1000.0,,,,,,3,COMPLETE
152,152,2.422673657687238,2025-05-29 23:47:32.468311,2025-05-29 23:47:33.297914,0 days 00:00:00.829603,,,,,,530.0,1m,1.4000000000000001,-1.7,310.0,860.0,29m,0.30000000000000004,-0.8999999999999999,940.0,490,2m,0.6000000000000001,0.0,970,,,,,,340.0,10m,2.0,-2.5,690.0,,,,,,730,56m,1.2000000000000002,-1.2999999999999998,70,970.0,13m,3.2,-2.0999999999999996,940.0,,,,,,3,COMPLETE
153,153,1.1903701943868823,2025-05-29 23:47:33.305961,2025-05-29 23:47:34.182451,0 days 00:00:00.876490,,,,,,540.0,1m,1.4000000000000001,-1.7,300.0,860.0,29m,0.30000000000000004,-0.8999999999999999,940.0,500,2m,0.4,0.0,960,,,,,,360.0,10m,2.1,-2.5,690.0,,,,,,700,56m,1.3,-1.1999999999999997,120,960.0,13m,3.5,-2.0999999999999996,940.0,,,,,,3,COMPLETE
154,154,1.5240611786536746,2025-05-29 23:47:34.182451,2025-05-29 23:47:35.079353,0 days 00:00:00.896902,,,,,,520.0,1m,1.7000000000000002,-1.7999999999999998,320.0,900.0,29m,0.2,-1.0,990.0,490,2m,0.6000000000000001,-0.19999999999999973,990,,,,,,360.0,37m,2.0,-2.3,710.0,,,,,,680,56m,1.6,-1.4,10,890.0,13m,3.2,-2.0999999999999996,890.0,,,,,,3,COMPLETE
155,155,-0.17465754062732863,2025-05-29 23:47:35.079353,2025-05-29 23:47:35.998487,0 days 00:00:00.919134,,,,,,640.0,1m,1.5,-1.5999999999999999,200.0,750.0,29m,0.2,-0.8999999999999999,920.0,440,2m,0.4,-0.19999999999999973,970,,,,,,340.0,23m,1.8,-2.4,590.0,,,,,,730,56m,1.2000000000000002,-1.5,70,960.0,13m,3.2,-2.3,980.0,,,,,,3,COMPLETE
156,156,-1.506872382183467,2025-05-29 23:47:36.008271,2025-05-29 23:47:36.913845,0 days 00:00:00.905574,,,,,,570.0,3m,1.6,-1.7999999999999998,260.0,860.0,29m,0.1,-0.8999999999999999,850.0,520,39m,0.8,-0.3999999999999999,940,,,,,,200.0,10m,1.9000000000000001,-2.5,620.0,,,,,,770,37m,1.1,-1.5999999999999999,40,970.0,54m,3.4000000000000004,-2.2,910.0,,,,,,3,COMPLETE
157,157,1.6904887002613187,2025-05-29 23:47:36.918534,2025-05-29 23:47:37.839207,0 days 00:00:00.920673,,,,,,600.0,2m,1.7000000000000002,-1.4,220.0,940.0,15m,0.30000000000000004,-1.0,960.0,460,56m,0.2,-0.2999999999999998,1000,,,,,,390.0,10m,2.1,-2.3,660.0,,,,,,840,23m,1.3,-1.0999999999999996,60,940.0,4m,3.3000000000000003,-2.7,970.0,,,,,,3,COMPLETE
158,158,0.3281021952570638,2025-05-29 23:47:37.839207,2025-05-29 23:47:38.774568,0 days 00:00:00.935361,,,,,,440.0,1m,1.3,-2.0,220.0,940.0,57m,0.4,-0.7999999999999998,960.0,450,56m,0.2,0.0,1000,,,,,,380.0,10m,2.1,-2.3,660.0,,,,,,900,23m,1.3,-1.0999999999999996,60,890.0,4m,3.3000000000000003,-2.6,960.0,,,,,,3,COMPLETE
159,159,1.4936820349611646,2025-05-29 23:47:38.785034,2025-05-29 23:47:39.699448,0 days 00:00:00.914414,,,,,,600.0,2m,1.7000000000000002,-1.4,180.0,910.0,47m,0.30000000000000004,-1.0,910.0,470,15m,0.30000000000000004,-0.3999999999999999,980,,,,,,410.0,37m,1.6,-2.6,680.0,,,,,,830,22m,1.2000000000000002,-1.2999999999999998,110,950.0,13m,3.1,-2.8,1000.0,,,,,,3,COMPLETE
160,160,0.3666669689139427,2025-05-29 23:47:39.705232,2025-05-29 23:47:40.617868,0 days 00:00:00.912636,,,,,,530.0,28m,1.5,-1.5,350.0,720.0,15m,0.1,-1.0,960.0,420,56m,0.1,-0.2999999999999998,950,,,,,,160.0,10m,2.1,-2.2,500.0,,,,,,650,42m,1.2000000000000002,-0.8999999999999999,80,900.0,25m,3.4000000000000004,-2.7,940.0,,,,,,3,COMPLETE
161,161,-2.4208502689307667,2025-05-29 23:47:40.624549,2025-05-29 23:47:41.523080,0 days 00:00:00.898531,,,,,,560.0,1m,1.6,-1.5999999999999999,250.0,790.0,2m,0.30000000000000004,-1.0999999999999996,940.0,460,7m,0.5,0.0,980,,,,,,340.0,28m,2.0,-2.3,570.0,,,,,,690,10m,1.1,-1.9,30,1000.0,42m,3.2,-2.4,970.0,,,,,,3,COMPLETE
162,162,-1.78958633031277,2025-05-29 23:47:41.532434,2025-05-29 23:47:42.459625,0 days 00:00:00.927191,,,,,,620.0,1m,1.4000000000000001,-1.4,280.0,770.0,15m,0.2,-0.7999999999999998,860.0,510,59m,1.0,-0.2999999999999998,1000,,,,,,280.0,38m,1.9000000000000001,-2.4,640.0,,,,,,780,19m,1.0,-1.7,50,980.0,4m,3.3000000000000003,-3.0,880.0,,,,,,3,COMPLETE
163,163,-0.9100765207253488,2025-05-29 23:47:42.468144,2025-05-29 23:47:43.440754,0 days 00:00:00.972610,,,,,,470.0,2m,1.7000000000000002,-1.7,230.0,850.0,31m,0.0,-0.6999999999999997,830.0,340,5m,0.6000000000000001,-0.19999999999999973,960,,,,,,430.0,8m,2.2,-2.0999999999999996,590.0,,,,,,860,16m,1.3,-1.0999999999999996,10,940.0,18m,3.5,-2.4,920.0,,,,,,3,COMPLETE
164,164,0.08426978096015186,2025-05-29 23:47:43.451048,2025-05-29 23:47:44.323926,0 days 00:00:00.872878,,,,,,590.0,25m,2.0,-1.7999999999999998,170.0,980.0,39m,0.1,-1.1999999999999997,1000.0,410,31m,0.30000000000000004,-0.5,940,,,,,,230.0,11m,1.8,-2.5,600.0,,,,,,730,23m,1.2000000000000002,-1.5999999999999999,80,920.0,49m,3.2,-2.7,950.0,,,,,,3,COMPLETE
165,165,2.100727257163274,2025-05-29 23:47:44.323926,2025-05-29 23:47:45.212960,0 days 00:00:00.889034,,,,,,640.0,1m,1.9000000000000001,-1.1999999999999997,300.0,880.0,36m,0.4,-0.8999999999999999,890.0,530,51m,0.7000000000000001,-0.3999999999999999,970,,,,,,350.0,10m,1.7000000000000002,-2.2,550.0,,,,,,740,52m,1.1,-1.9,140,970.0,22m,3.1,-2.0,980.0,,,,,,3,COMPLETE
166,166,-0.8372144291778058,2025-05-29 23:47:45.220006,2025-05-29 23:47:46.085130,0 days 00:00:00.865124,,,,,,550.0,1m,1.9000000000000001,-1.1999999999999997,340.0,940.0,1m,0.5,-0.8999999999999999,900.0,540,3m,0.9,-0.3999999999999999,970,,,,,,340.0,10m,1.7000000000000002,-2.2,740.0,,,,,,740,38m,1.3,-1.9,140,970.0,11m,3.3000000000000003,-2.0,980.0,,,,,,3,COMPLETE
167,167,-2.984677149008467,2025-05-29 23:47:46.095106,2025-05-29 23:47:46.981299,0 days 00:00:00.886193,,,,,,630.0,9m,2.1,-1.5,300.0,880.0,25m,0.4,-1.0999999999999996,940.0,490,34m,0.7000000000000001,-0.09999999999999964,930,,,,,,390.0,44m,2.0,-2.3,550.0,,,,,,760,52m,1.4000000000000001,-1.4,60,950.0,20m,3.1,-2.2,1000.0,,,,,,3,COMPLETE
168,168,,2025-05-29 23:47:46.986074,2025-05-29 23:47:47.861885,0 days 00:00:00.875811,,,,,,340.0,39m,1.3,-1.1999999999999997,280.0,800.0,36m,0.1,-0.8999999999999999,870.0,520,51m,0.4,-0.09999999999999964,1000,,,,,,300.0,14m,2.2,-2.0999999999999996,510.0,,,,,,720,57m,1.1,-1.0999999999999996,100,1000.0,22m,3.4000000000000004,-2.0,970.0,,,,,,3,FAIL
169,169,-2.0529753592924775,2025-05-29 23:47:47.868906,2025-05-29 23:47:48.736874,0 days 00:00:00.867968,,,,,,580.0,17m,1.3,-1.1999999999999997,370.0,800.0,14m,0.1,-0.8999999999999999,880.0,560,13m,0.4,-0.09999999999999964,1000,,,,,,300.0,25m,1.7000000000000002,-2.0999999999999996,510.0,,,,,,710,44m,1.1,-1.7999999999999998,110,1000.0,34m,3.4000000000000004,-2.2,960.0,,,,,,3,COMPLETE
170,170,0.08669806264161337,2025-05-29 23:47:48.736874,2025-05-29 23:47:49.608382,0 days 00:00:00.871508,,,,,,650.0,42m,1.6,-1.4,280.0,880.0,44m,0.30000000000000004,-1.0,800.0,520,51m,0.5,-0.2999999999999998,960,,,,,,260.0,14m,1.2000000000000002,-2.4,570.0,,,,,,780,1m,1.0,-1.7,90,980.0,22m,3.1,-2.5,930.0,,,,,,3,COMPLETE
171,171,-1.3437689078838013,2025-05-29 23:47:49.616835,2025-05-29 23:47:50.464213,0 days 00:00:00.847378,,,,,,540.0,53m,1.7000000000000002,-1.2999999999999998,310.0,740.0,45m,0.0,-1.1999999999999997,930.0,530,12m,0.2,-0.19999999999999973,980,,,,,,340.0,21m,2.2,-2.6,610.0,,,,,,840,33m,1.2000000000000002,-1.1999999999999997,30,910.0,12m,3.0,-2.0,900.0,,,,,,3,COMPLETE
172,172,-0.16211146770729348,2025-05-29 23:47:50.474872,2025-05-29 23:47:51.277160,0 days 00:00:00.802288,,,,,,610.0,7m,2.0,-1.5999999999999999,250.0,770.0,36m,0.2,-1.4,960.0,440,2m,0.6000000000000001,0.0,930,,,,,,360.0,13m,1.9000000000000001,-2.2,540.0,,,,,,680,51m,1.5,-1.5,180,950.0,56m,3.4000000000000004,-2.3,980.0,,,,,,3,COMPLETE
173,173,,2025-05-29 23:47:51.277160,2025-05-29 23:47:52.057227,0 days 00:00:00.780067,,,,,,920.0,59m,1.9000000000000001,-2.0,140.0,840.0,55m,0.2,-0.7999999999999998,900.0,470,51m,0.8,-0.5,950,,,,,,270.0,45m,2.1,-2.4,670.0,,,,,,820,52m,0.9,-2.0999999999999996,50,970.0,38m,3.2,-3.0,860.0,,,,,,3,FAIL
174,174,0.8902129063742071,2025-05-29 23:47:52.063023,2025-05-29 23:47:52.881679,0 days 00:00:00.818656,,,,,,370.0,49m,1.9000000000000001,-1.9,190.0,840.0,52m,0.2,-0.7999999999999998,900.0,560,4m,0.8,-0.5,960,,,,,,270.0,45m,2.1,-2.4,650.0,,,,,,810,55m,0.9,-1.9,50,980.0,13m,3.2,-2.9,1000.0,,,,,,3,COMPLETE
175,175,-0.31295310653071723,2025-05-29 23:47:52.881679,2025-05-29 23:47:53.750247,0 days 00:00:00.868568,,,,,,90.0,34m,1.4000000000000001,-2.8,140.0,810.0,38m,0.30000000000000004,-1.0999999999999996,890.0,470,14m,0.7000000000000001,-0.2999999999999998,160,,,,,,320.0,17m,2.0,-2.0999999999999996,620.0,,,,,,720,52m,2.1,-2.0,10,880.0,9m,3.5,-2.5,950.0,,,,,,3,COMPLETE
176,176,,2025-05-29 23:47:53.750247,2025-05-29 23:47:54.630046,0 days 00:00:00.879799,,,,,,510.0,39m,1.8,-2.0999999999999996,390.0,960.0,49m,0.1,-1.0,980.0,510,20m,0.4,-0.09999999999999964,910,,,,,,370.0,10m,1.6,-2.3,500.0,,,,,,790,56m,1.3,-1.0,70,850.0,38m,1.5,-2.4,970.0,,,,,,3,FAIL
177,177,,2025-05-29 23:47:54.638450,2025-05-29 23:47:55.528543,0 days 00:00:00.890093,,,,,,510.0,59m,1.8,-3.0,390.0,760.0,21m,0.5,-0.6999999999999997,980.0,500,51m,0.4,-0.09999999999999964,910,,,,,,370.0,59m,2.2,-2.3,490.0,,,,,,740,30m,1.3,-1.0,80,1000.0,45m,3.3000000000000003,-2.7,860.0,,,,,,3,FAIL
178,178,,2025-05-29 23:47:55.539109,2025-05-29 23:47:56.413693,0 days 00:00:00.874584,,,,,,490.0,59m,1.8,-2.0999999999999996,320.0,960.0,55m,0.5,-0.6999999999999997,860.0,500,20m,0.4,-0.09999999999999964,910,,,,,,370.0,59m,2.0,-2.3,680.0,,,,,,740,34m,1.3,-2.3,70,1000.0,44m,3.3000000000000003,-2.4,40.0,,,,,,3,FAIL
179,179,-1.9124726427513188,2025-05-29 23:47:56.424086,2025-05-29 23:47:57.281874,0 days 00:00:00.857788,,,,,,500.0,4m,1.8,-2.2,230.0,960.0,55m,0.1,-1.0,860.0,380,33m,0.4,-0.09999999999999964,910,,,,,,370.0,43m,2.2,-2.3,720.0,,,,,,740,56m,1.3,-2.3,70,1000.0,38m,3.3000000000000003,-2.7,50.0,,,,,,3,COMPLETE
180,180,,2025-05-29 23:47:57.284583,2025-05-29 23:47:58.152233,0 days 00:00:00.867650,,,,,,560.0,59m,2.1,-1.5,390.0,900.0,36m,0.4,-0.8999999999999999,870.0,610,51m,0.9,-0.3999999999999999,1000,,,,,,420.0,10m,2.5,-2.2,680.0,,,,,,770,57m,1.1,-2.0999999999999996,30,700.0,22m,2.9000000000000004,-2.4,830.0,,,,,,3,FAIL
181,181,,2025-05-29 23:47:58.152233,2025-05-29 23:47:59.017054,0 days 00:00:00.864821,,,,,,560.0,46m,2.1,-1.5,270.0,770.0,36m,0.4,-0.8999999999999999,780.0,500,51m,0.9,-0.3999999999999999,1000,,,,,,400.0,10m,2.6,-1.9,680.0,,,,,,770,30m,1.1,-1.0,40,700.0,26m,2.9000000000000004,-2.4,870.0,,,,,,3,FAIL
182,182,-0.2365641213401236,2025-05-29 23:47:59.017054,2025-05-29 23:47:59.879358,0 days 00:00:00.862304,,,,,,600.0,39m,1.7000000000000002,-2.4,390.0,780.0,36m,0.4,-0.5,980.0,500,24m,0.9,-0.3999999999999999,980,,,,,,170.0,10m,2.5,-1.9,490.0,,,,,,760,18m,1.1,-1.0,30,700.0,7m,3.3000000000000003,-2.4,860.0,,,,,,3,COMPLETE
183,183,-3.3908750728727712,2025-05-29 23:47:59.900786,2025-05-29 23:48:00.752497,0 days 00:00:00.851711,,,,,,570.0,59m,2.1,-1.2999999999999998,290.0,920.0,8m,0.0,-0.6999999999999997,970.0,610,51m,0.5,-0.5,1000,,,,,,400.0,10m,2.0,-2.0999999999999996,570.0,,,,,,780,15m,1.1,-1.4,120,970.0,22m,2.9000000000000004,-2.6,840.0,,,,,,3,COMPLETE
184,184,,2025-05-29 23:48:00.752497,2025-05-29 23:48:01.601970,0 days 00:00:00.849473,,,,,,660.0,54m,2.2,-1.7,320.0,890.0,49m,0.2,-1.1999999999999997,860.0,540,20m,1.1,-0.19999999999999973,950,,,,,,430.0,34m,1.6,-2.4,680.0,,,,,,700,34m,1.0,-2.2,90,740.0,26m,3.0,-2.3,740.0,,,,,,3,FAIL
185,185,0.3321535459968579,2025-05-29 23:48:01.618400,2025-05-29 23:48:02.483344,0 days 00:00:00.864944,,,,,,640.0,54m,1.6,-1.0,270.0,760.0,49m,0.2,-1.1999999999999997,860.0,540,20m,1.1,-0.19999999999999973,950,,,,,,350.0,59m,0.6000000000000001,-2.4,680.0,,,,,,660,30m,1.0,-1.2999999999999998,90,930.0,26m,3.0,-2.3,980.0,,,,,,3,COMPLETE
186,186,,2025-05-29 23:48:02.483344,2025-05-29 23:48:03.379444,0 days 00:00:00.896100,,,,,,340.0,52m,1.9000000000000001,-1.0999999999999996,320.0,730.0,21m,0.2,-0.8999999999999999,920.0,520,36m,0.30000000000000004,-0.09999999999999964,980,,,,,,430.0,18m,1.8,-2.2,630.0,,,,,,740,57m,1.4000000000000001,-0.6999999999999997,50,960.0,35m,1.6,-2.0,930.0,,,,,,3,FAIL
187,187,,2025-05-29 23:48:03.379444,2025-05-29 23:48:04.264748,0 days 00:00:00.885304,,,,,,620.0,52m,1.9000000000000001,-1.0999999999999996,330.0,730.0,29m,0.5,-0.8999999999999999,780.0,520,36m,1.0,-0.09999999999999964,890,,,,,,430.0,39m,1.8,-2.2,530.0,,,,,,700,34m,1.4000000000000001,-1.7,40,750.0,45m,3.1,-2.9,730.0,,,,,,3,FAIL
188,188,-1.6494130750235898,2025-05-29 23:48:04.273220,2025-05-29 23:48:05.154521,0 days 00:00:00.881301,,,,,,520.0,22m,1.8,-1.0999999999999996,320.0,730.0,21m,0.2,-0.8999999999999999,910.0,520,36m,1.0,-0.09999999999999964,50,,,,,,430.0,39m,1.8,-2.2,530.0,,,,,,700,21m,1.3,-1.5999999999999999,40,740.0,48m,3.1,-2.0,730.0,,,,,,3,COMPLETE
189,189,,2025-05-29 23:48:05.154521,2025-05-29 23:48:06.057206,0 days 00:00:00.902685,,,,,,670.0,32m,1.9000000000000001,-3.0,210.0,890.0,40m,0.1,-1.0,770.0,560,17m,0.6000000000000001,0.0,890,,,,,,300.0,34m,1.6,-1.9,600.0,,,,,,740,34m,1.4000000000000001,-2.0999999999999996,70,850.0,45m,1.7000000000000002,-2.4,820.0,,,,,,3,FAIL
190,190,,2025-05-29 23:48:06.073199,2025-05-29 23:48:06.963363,0 days 00:00:00.890164,,,,,,620.0,46m,1.9000000000000001,-3.1,350.0,890.0,29m,0.1,-1.0,820.0,560,19m,0.6000000000000001,0.0,980,,,,,,300.0,52m,2.6,-2.3,630.0,,,,,,740,57m,1.4000000000000001,-2.0999999999999996,70,960.0,45m,3.2,-2.2,920.0,,,,,,3,FAIL
191,191,-1.9402181252811674,2025-05-29 23:48:06.969175,2025-05-29 23:48:07.865562,0 days 00:00:00.896387,,,,,,340.0,31m,1.9000000000000001,-1.4,350.0,830.0,10m,0.1,-1.0,950.0,560,17m,0.6000000000000001,0.0,890,,,,,,300.0,48m,1.6,-2.3,600.0,,,,,,740,34m,1.4000000000000001,-1.7999999999999998,60,860.0,58m,3.2,-2.2,920.0,,,,,,3,COMPLETE
192,192,1.0001800015076876,2025-05-29 23:48:07.865562,2025-05-29 23:48:08.768720,0 days 00:00:00.903158,,,,,,890.0,52m,2.2,-1.5,210.0,870.0,34m,0.30000000000000004,-0.7999999999999998,780.0,600,37m,1.2000000000000002,-0.2999999999999998,930,,,,,,320.0,49m,2.6,-1.9,560.0,,,,,,790,4m,1.2000000000000002,-1.9,160,960.0,21m,1.6,-2.7,960.0,,,,,,3,COMPLETE
193,193,,2025-05-29 23:48:08.781354,2025-05-29 23:48:09.651341,0 days 00:00:00.869987,,,,,,950.0,46m,2.0,-1.7,250.0,890.0,40m,0.5,-1.0999999999999996,870.0,490,38m,0.8,-0.5999999999999996,340,,,,,,390.0,34m,2.1,-2.5,630.0,,,,,,720,57m,1.6,-2.0999999999999996,100,920.0,45m,3.4000000000000004,-2.4,830.0,,,,,,3,FAIL
194,194,,2025-05-29 23:48:09.667571,2025-05-29 23:48:10.543587,0 days 00:00:00.876016,,,,,,670.0,46m,1.7000000000000002,-1.7,250.0,480.0,27m,0.0,-1.0999999999999996,810.0,510,47m,0.8,-0.5999999999999996,340,,,,,,720.0,18m,2.1,-2.5,640.0,,,,,,520,46m,1.6,-2.0999999999999996,100,930.0,15m,3.4000000000000004,-2.4,980.0,,,,,,3,FAIL
195,195,2.046765286065848,2025-05-29 23:48:10.543587,2025-05-29 23:48:11.473063,0 days 00:00:00.929476,,,,,,670.0,1m,2.0,-3.0,250.0,710.0,40m,0.5,-1.0999999999999996,870.0,490,38m,0.8,-0.5999999999999996,980,,,,,,380.0,6m,1.3,-2.5,630.0,,,,,,520,57m,1.6,-2.0999999999999996,100,930.0,45m,3.4000000000000004,-2.4,810.0,,,,,,3,COMPLETE
196,196,,2025-05-29 23:48:11.479554,2025-05-29 23:48:12.106780,0 days 00:00:00.627226,,,,,,,,,,,700.0,37m,0.5,-1.0999999999999996,830.0,480,25m,0.7000000000000001,-0.5999999999999996,980,,,,,,390.0,52m,1.4000000000000001,-2.4,640.0,,,,,,720,57m,1.6,-2.2,90,,,,,,,,,,,2,FAIL
197,197,-2.8353266191841255,2025-05-29 23:48:12.106780,2025-05-29 23:48:12.732587,0 days 00:00:00.625807,,,,,,,,,,,700.0,40m,0.5,-1.2999999999999998,830.0,470,38m,0.7000000000000001,-0.5999999999999996,980,,,,,,390.0,20m,1.2000000000000002,-2.5,670.0,,,,,,70,5m,1.8,-2.0999999999999996,100,,,,,,,,,,,2,COMPLETE
198,198,0.2281510072824675,2025-05-29 23:48:12.732587,2025-05-29 23:48:13.640707,0 days 00:00:00.908120,,,,,,670.0,1m,2.0,-1.5999999999999999,250.0,720.0,40m,0.6000000000000001,-1.0999999999999996,870.0,490,38m,0.8,-0.6999999999999997,950,,,,,,420.0,34m,1.3,-2.0,650.0,,,,,,760,17m,1.6,-2.2,80,920.0,35m,3.4000000000000004,-2.4,830.0,,,,,,3,COMPLETE
199,199,,2025-05-29 23:48:13.651723,2025-05-29 23:48:14.298281,0 days 00:00:00.646558,,,,,,,,,,,750.0,29m,0.4,-1.1999999999999997,920.0,430,53m,0.2,-0.5,1000,,,,,,370.0,18m,1.4000000000000001,-2.6,640.0,,,,,,520,57m,1.5,-2.0,40,,,,,,,,,,,2,FAIL
