,number,value,datetime_start,datetime_complete,duration,params_AAL_MAR_beta_win,params_AAL_MAR_trade_freq,params_AAL_MAR_z_entry,params_AAL_MAR_z_exit,params_AAL_MAR_z_win,params_ADSK_CSX_beta_win,params_ADSK_CSX_trade_freq,params_ADSK_CSX_z_entry,params_ADSK_CSX_z_exit,params_ADSK_CSX_z_win,params_ALGN_MAR_beta_win,params_ALGN_MAR_trade_freq,params_ALGN_MAR_z_entry,params_ALGN_MAR_z_exit,params_ALGN_MAR_z_win,params_AMGN_NTAP_beta_win,params_AMGN_NTAP_trade_freq,params_AMGN_NTAP_z_entry,params_AMGN_NTAP_z_exit,params_AMGN_NTAP_z_win,params_BIDU_INCY_beta_win,params_BIDU_INCY_trade_freq,params_BIDU_INCY_z_entry,params_BIDU_INCY_z_exit,params_BIDU_INCY_z_win,params_INTU_MNST_beta_win,params_INTU_MNST_trade_freq,params_INTU_MNST_z_entry,params_INTU_MNST_z_exit,params_INTU_MNST_z_win,params_SBUX_EA_beta_win,params_SBUX_EA_trade_freq,params_SBUX_EA_z_entry,params_SBUX_EA_z_exit,params_SBUX_EA_z_win,params_UAL_ALGN_beta_win,params_UAL_ALGN_trade_freq,params_UAL_ALGN_z_entry,params_UAL_ALGN_z_exit,params_UAL_ALGN_z_win,params_UAL_MAR_beta_win,params_UAL_MAR_trade_freq,params_UAL_MAR_z_entry,params_UAL_MAR_z_exit,params_UAL_MAR_z_win,params_WDC_MAR_beta_win,params_WDC_MAR_trade_freq,params_WDC_MAR_z_entry,params_WDC_MAR_z_exit,params_WDC_MAR_z_win,params_pairs_to_trade,state
31,31,-2.1393579566049037,2025-05-29 23:45:33.773553,2025-05-29 23:45:34.746222,0 days 00:00:00.972669,260.0,2m,0.5,-0.3999999999999999,360.0,280.0,28m,2.3000000000000003,-0.2999999999999998,650.0,460.0,43m,2.3000000000000003,-1.4,170.0,590,21m,2.5,-1.5999999999999999,880,,,,,,120.0,30m,3.0,-2.4,110.0,900.0,30m,3.5,-3.1,600.0,280,35m,1.3,-3.2,800,200.0,2m,1.1,-1.0,180.0,,,,,,4,COMPLETE
32,32,-1.9984584087713153,2025-05-29 23:45:34.756957,2025-05-29 23:45:35.522815,0 days 00:00:00.765858,,,,,,680.0,30m,3.5,-1.0999999999999996,890.0,560.0,13m,1.5,-2.2,380.0,350,49m,1.9000000000000001,-2.0,600,,,,,,270.0,53m,2.1,-1.7999999999999998,380.0,,,,,,600,26m,0.30000000000000004,-2.5,530,430.0,42m,3.5,-1.7,710.0,,,,,,3,COMPLETE
33,33,-0.5527474756995887,2025-05-29 23:45:35.532887,2025-05-29 23:45:36.705272,0 days 00:00:01.172385,150.0,43m,1.6,-1.1999999999999997,190.0,480.0,30m,2.7,-0.6999999999999997,980.0,680.0,29m,1.1,-2.9,690.0,800,21m,0.6000000000000001,-2.8,480,900.0,13m,1.1,-2.0999999999999996,570.0,110.0,4m,3.2,-0.6999999999999997,580.0,480.0,7m,1.8,-2.2,330.0,380,3m,1.8,-1.5,660,350.0,29m,3.1,-0.3999999999999999,360.0,630.0,48m,0.30000000000000004,-2.7,450.0,5,COMPLETE
34,34,0.7019351699084765,2025-05-29 23:45:36.705272,2025-05-29 23:45:37.904477,0 days 00:00:01.199205,400.0,9m,0.7000000000000001,0.0,710.0,680.0,29m,1.2000000000000002,0.0,610.0,330.0,7m,0.4,-1.2999999999999998,520.0,670,32m,2.1,-1.2999999999999998,810,30.0,9m,2.3000000000000003,-1.0,40.0,530.0,22m,2.8000000000000003,-1.2999999999999998,270.0,960.0,58m,0.9,-3.0,810.0,680,14m,0.6000000000000001,-3.2,980,670.0,59m,2.6,-0.3999999999999999,510.0,890.0,10m,1.1,-0.5999999999999996,720.0,5,COMPLETE
35,35,-1.7176123164940416,2025-05-29 23:45:37.915087,2025-05-29 23:45:39.114084,0 days 00:00:01.198997,500.0,18m,0.6000000000000001,0.0,700.0,940.0,29m,1.1,0.0,580.0,160.0,24m,0.30000000000000004,-1.1999999999999997,510.0,530,32m,2.5,-0.6999999999999997,1000,50.0,12m,2.3000000000000003,-1.0,80.0,530.0,16m,2.7,-1.0,250.0,1000.0,9m,0.9,-2.3,880.0,700,14m,0.7000000000000001,-3.2,1000,760.0,59m,2.5,-0.19999999999999973,560.0,1000.0,16m,1.0,-0.3999999999999999,750.0,5,COMPLETE
36,36,0.17352029500851857,2025-05-29 23:45:39.124554,2025-05-29 23:45:40.326768,0 days 00:00:01.202214,380.0,9m,0.1,-2.2,830.0,660.0,45m,1.2000000000000002,-0.2999999999999998,380.0,110.0,23m,0.6000000000000001,-1.4,680.0,450,57m,0.30000000000000004,-1.0,660,240.0,36m,2.9000000000000004,-1.0999999999999996,300.0,550.0,22m,2.3000000000000003,-1.1999999999999997,90.0,910.0,58m,1.4000000000000001,-1.0999999999999996,660.0,520,54m,1.3,-3.2,760,630.0,59m,2.5,-0.3999999999999999,660.0,780.0,50m,1.3,-0.6999999999999997,250.0,5,COMPLETE
37,37,-0.10132909684436024,2025-05-29 23:45:40.326768,2025-05-29 23:45:41.558396,0 days 00:00:01.231628,670.0,8m,0.8,-3.2,810.0,810.0,1m,1.9000000000000001,-0.2999999999999998,730.0,310.0,7m,3.1,-1.0999999999999996,550.0,280,5m,2.2,-1.1999999999999997,920,290.0,9m,2.4000000000000004,0.0,720.0,430.0,3m,3.3000000000000003,-2.0999999999999996,200.0,870.0,5m,0.9,-3.5,860.0,670,25m,2.0,-3.4,930,490.0,20m,1.8,-3.5,480.0,370.0,10m,2.3000000000000003,-1.1999999999999997,640.0,5,COMPLETE
38,38,1.4449978347169972,2025-05-29 23:45:41.558396,2025-05-29 23:45:42.590368,0 days 00:00:01.031972,300.0,42m,1.2000000000000002,-0.5,390.0,600.0,29m,0.8,-0.8999999999999999,600.0,530.0,36m,0.0,-2.0,480.0,690,44m,2.0,-1.2999999999999998,810,,,,,,60.0,33m,2.9000000000000004,-1.7,420.0,720.0,50m,0.0,-3.0,780.0,570,13m,0.7000000000000001,-2.6,850,510.0,41m,3.1,-0.8999999999999999,430.0,,,,,,4,COMPLETE
39,39,1.577283983345314,2025-05-29 23:45:42.590368,2025-05-29 23:45:43.368339,0 days 00:00:00.777971,,,,,,650.0,29m,0.7000000000000001,-0.8999999999999999,610.0,490.0,36m,0.2,-1.9,530.0,550,54m,2.0,-1.1999999999999997,800,,,,,,700.0,10m,2.8000000000000003,-1.4,300.0,,,,,,550,13m,1.1,-3.0,890,710.0,22m,2.7,-1.0,760.0,,,,,,3,COMPLETE
40,40,-1.9699339784803067,2025-05-29 23:45:43.384045,2025-05-29 23:45:44.142631,0 days 00:00:00.758586,,,,,,500.0,29m,0.6000000000000001,-1.2999999999999998,430.0,840.0,36m,0.2,-1.9,360.0,570,54m,2.8000000000000003,-0.6999999999999997,730,,,,,,730.0,33m,2.9000000000000004,-1.9,320.0,,,,,,560,13m,1.6,-2.5,180,830.0,22m,3.2,-1.5,760.0,,,,,,3,COMPLETE
41,41,-2.996010106645527,2025-05-29 23:45:44.142631,2025-05-29 23:45:44.710923,0 days 00:00:00.568292,,,,,,,,,,,490.0,36m,0.0,-2.4,640.0,420,44m,1.0,-1.7,630,,,,,,990.0,28m,2.4000000000000004,-1.9,560.0,,,,,,550,13m,1.1,-3.0,360,,,,,,,,,,,2,COMPLETE
42,42,,2025-05-29 23:45:44.721504,2025-05-29 23:45:45.474972,0 days 00:00:00.753468,,,,,,630.0,36m,0.1,-1.0,670.0,540.0,47m,1.0,-2.0,480.0,530,40m,1.9000000000000001,-0.3999999999999999,530,,,,,,760.0,23m,3.3000000000000003,-1.5999999999999999,80.0,,,,,,420,37m,0.7000000000000001,-2.6,780,960.0,52m,2.8000000000000003,-1.0,800.0,,,,,,3,FAIL
43,43,-0.12360604876071403,2025-05-29 23:45:45.485848,2025-05-29 23:45:46.243652,0 days 00:00:00.757804,,,,,,630.0,6m,0.0,-0.8999999999999999,370.0,410.0,9m,0.9,-2.0,780.0,810,28m,0.0,-0.2999999999999998,540,,,,,,830.0,10m,3.3000000000000003,-1.5999999999999999,120.0,,,,,,420,56m,0.7000000000000001,-2.6,760,540.0,41m,2.8000000000000003,-1.0,610.0,,,,,,3,COMPLETE
