,number,value,datetime_start,datetime_complete,duration,params_ASML_ISRG_beta_win,params_ASML_ISRG_trade_freq,params_ASML_ISRG_z_entry,params_ASML_ISRG_z_exit,params_ASML_ISRG_z_win,params_CELG_IDXX_beta_win,params_CELG_IDXX_trade_freq,params_CELG_IDXX_z_entry,params_CELG_IDXX_z_exit,params_CELG_IDXX_z_win,params_CSX_MAR_beta_win,params_CSX_MAR_trade_freq,params_CSX_MAR_z_entry,params_CSX_MAR_z_exit,params_CSX_MAR_z_win,params_ILMN_INCY_beta_win,params_ILMN_INCY_trade_freq,params_ILMN_INCY_z_entry,params_ILMN_INCY_z_exit,params_ILMN_INCY_z_win,params_LRCX_CHTR_beta_win,params_LRCX_CHTR_trade_freq,params_LRCX_CHTR_z_entry,params_LRCX_CHTR_z_exit,params_LRCX_CHTR_z_win,params_MSFT_VRTX_beta_win,params_MSFT_VRTX_trade_freq,params_MSFT_VRTX_z_entry,params_MSFT_VRTX_z_exit,params_MSFT_VRTX_z_win,params_NFLX_IDXX_beta_win,params_NFLX_IDXX_trade_freq,params_NFLX_IDXX_z_entry,params_NFLX_IDXX_z_exit,params_NFLX_IDXX_z_win,params_TTWO_SWKS_beta_win,params_TTWO_SWKS_trade_freq,params_TTWO_SWKS_z_entry,params_TTWO_SWKS_z_exit,params_TTWO_SWKS_z_win,params_WDC_CERN_beta_win,params_WDC_CERN_trade_freq,params_WDC_CERN_z_entry,params_WDC_CERN_z_exit,params_WDC_CERN_z_win,params_WYNN_ADSK_beta_win,params_WYNN_ADSK_trade_freq,params_WYNN_ADSK_z_entry,params_WYNN_ADSK_z_exit,params_WYNN_ADSK_z_win,params_pairs_to_trade,state
165,165,-0.5142761142497012,2025-05-29 23:34:54.871464,2025-05-29 23:34:55.719258,0 days 00:00:00.847794,810.0,5m,2.2,-0.8999999999999999,380.0,80.0,12m,1.9000000000000001,-0.3999999999999999,560.0,410.0,39m,0.0,-0.09999999999999964,560.0,900,14m,0.30000000000000004,-0.09999999999999964,430,120.0,49m,1.4000000000000001,-2.0999999999999996,80.0,580.0,7m,2.6,-2.9,970.0,800.0,11m,0.1,-2.7,430.0,940.0,17m,3.4000000000000004,-2.6,590.0,760,20m,0.5,-2.0999999999999996,910,50.0,22m,3.1,-1.1999999999999997,740.0,5,COMPLETE
166,166,1.5118396320899936,2025-05-29 23:34:55.719258,2025-05-29 23:34:56.558873,0 days 00:00:00.839615,870.0,25m,2.5,-0.7999999999999998,350.0,160.0,36m,1.8,-0.6999999999999997,590.0,430.0,30m,0.2,-0.2999999999999998,230.0,1000,32m,0.2,-0.3999999999999999,360,430.0,28m,1.5,-2.0,100.0,780.0,9m,2.4000000000000004,-3.1,780.0,890.0,49m,0.1,-2.0999999999999996,500.0,880.0,22m,3.3000000000000003,-3.1,570.0,610,33m,0.2,-1.9,840,40.0,45m,2.9000000000000004,-0.5999999999999996,910.0,5,COMPLETE
167,167,1.715017063883959,2025-05-29 23:34:56.558873,2025-05-29 23:34:57.401913,0 days 00:00:00.843040,760.0,59m,1.8,-0.5,420.0,190.0,19m,2.4000000000000004,-1.0,480.0,350.0,13m,0.1,-0.3999999999999999,430.0,960,44m,0.1,-0.2999999999999998,400,30.0,25m,2.5,-2.4,230.0,950.0,28m,2.8000000000000003,-3.4,880.0,850.0,8m,0.8,-2.8,370.0,960.0,43m,3.1,-2.6,630.0,680,5m,0.4,-2.2,930,140.0,16m,3.3000000000000003,-1.5,850.0,5,COMPLETE
168,168,3.0416352556685466,2025-05-29 23:34:57.401913,2025-05-29 23:34:58.258065,0 days 00:00:00.856152,890.0,13m,2.2,-1.0,240.0,400.0,24m,1.5,-0.6999999999999997,800.0,470.0,49m,0.30000000000000004,0.0,480.0,830,20m,0.5,0.0,620,80.0,52m,1.3,-2.2,160.0,760.0,5m,2.1,-3.1,920.0,780.0,59m,0.4,-3.1,560.0,900.0,43m,3.4000000000000004,-2.3,710.0,730,32m,0.6000000000000001,-2.6,770,70.0,4m,1.8,-1.5999999999999999,770.0,5,COMPLETE
169,169,-2.847936013740946,2025-05-29 23:34:58.260859,2025-05-29 23:34:59.103025,0 days 00:00:00.842166,600.0,21m,2.0,-1.0999999999999996,250.0,400.0,20m,1.1,-0.7999999999999998,800.0,470.0,16m,0.5,-0.09999999999999964,520.0,840,22m,0.5,0.0,620,30.0,3m,1.1,-2.2,40.0,740.0,46m,2.0,-2.5,930.0,770.0,35m,0.5,-3.1,280.0,100.0,57m,3.3000000000000003,-2.3,720.0,820,32m,0.6000000000000001,-2.7,790,80.0,59m,1.8,-1.5999999999999999,770.0,5,COMPLETE
170,170,-1.1783263143058023,2025-05-29 23:34:59.106778,2025-05-29 23:34:59.934747,0 days 00:00:00.827969,790.0,28m,2.3000000000000003,-1.0,230.0,340.0,3m,1.3,-0.19999999999999973,880.0,290.0,22m,0.30000000000000004,0.0,80.0,980,56m,0.6000000000000001,-0.09999999999999964,680,320.0,34m,1.3,-1.7999999999999998,190.0,960.0,15m,1.8,-3.3,970.0,810.0,59m,2.1,-3.4,560.0,860.0,15m,3.5,-2.5,690.0,730,49m,0.5,-2.7,760,170.0,4m,2.0,-1.9,680.0,5,COMPLETE
171,171,-0.13096766885262745,2025-05-29 23:34:59.936752,2025-05-29 23:35:00.796563,0 days 00:00:00.859811,830.0,57m,1.2000000000000002,-0.2999999999999998,280.0,380.0,24m,1.5,-0.5999999999999996,780.0,510.0,36m,0.1,0.0,370.0,940,10m,0.0,0.0,540,130.0,52m,2.1,-2.0,130.0,690.0,8m,2.2,-2.8,900.0,860.0,28m,0.6000000000000001,-3.2,710.0,890.0,26m,3.2,-2.2,650.0,770,59m,0.2,-2.6,880,110.0,19m,1.5,-1.7,590.0,5,COMPLETE
172,172,-0.6977064857575255,2025-05-29 23:35:00.800388,2025-05-29 23:35:01.648741,0 days 00:00:00.848353,900.0,11m,1.6,-0.19999999999999973,460.0,480.0,24m,1.6,-0.3999999999999999,830.0,450.0,28m,0.0,-0.19999999999999973,480.0,880,20m,0.7000000000000001,-0.19999999999999973,570,190.0,11m,1.8,-2.0999999999999996,60.0,870.0,5m,2.1,-3.4,820.0,770.0,53m,0.4,-2.9,410.0,990.0,27m,3.5,-2.4,550.0,710,55m,0.4,-2.8,820,10.0,1m,1.8,-1.4,830.0,5,COMPLETE
173,173,3.683593085692914,2025-05-29 23:35:01.652245,2025-05-29 23:35:02.506583,0 days 00:00:00.854338,880.0,13m,2.2,-1.0,390.0,220.0,27m,2.2,-0.6999999999999997,700.0,420.0,13m,0.2,-0.2999999999999998,490.0,910,14m,0.4,-0.19999999999999973,650,80.0,23m,1.6,-2.2,150.0,770.0,19m,2.5,-3.1,870.0,960.0,55m,0.30000000000000004,-2.7,480.0,910.0,43m,3.4000000000000004,-2.5,610.0,740,33m,0.30000000000000004,-2.4,980,60.0,5m,3.0,-1.1999999999999997,730.0,5,COMPLETE
174,174,-1.3651916510435809,2025-05-29 23:35:02.517043,2025-05-29 23:35:03.366371,0 days 00:00:00.849328,930.0,13m,2.5,-1.0,300.0,220.0,34m,2.1,-0.7999999999999998,690.0,440.0,40m,0.30000000000000004,-0.09999999999999964,440.0,940,20m,0.30000000000000004,-0.09999999999999964,650,70.0,56m,1.9000000000000001,-2.6,260.0,750.0,24m,2.5,-3.0,910.0,960.0,1m,0.30000000000000004,-3.0,530.0,900.0,8m,3.4000000000000004,-2.3,610.0,740,14m,0.0,-2.4,980,30.0,5m,2.8000000000000003,-1.0999999999999996,710.0,5,COMPLETE
175,175,1.815925289175344,2025-05-29 23:35:03.368004,2025-05-29 23:35:04.221325,0 days 00:00:00.853321,960.0,24m,1.9000000000000001,-0.09999999999999964,360.0,260.0,27m,2.0,-0.6999999999999997,710.0,480.0,55m,0.4,-0.19999999999999973,630.0,860,48m,0.5,-0.2999999999999998,700,100.0,23m,1.6,-2.4,120.0,800.0,54m,2.3000000000000003,-3.2,880.0,820.0,55m,0.4,-3.4,460.0,910.0,47m,3.4000000000000004,-2.0999999999999996,750.0,780,3m,0.2,-2.4,950,70.0,32m,3.0,-1.2999999999999998,790.0,5,COMPLETE
176,176,3.3857099212881936,2025-05-29 23:35:04.223864,2025-05-29 23:35:05.072187,0 days 00:00:00.848323,910.0,13m,2.1,-1.1999999999999997,330.0,510.0,27m,2.4000000000000004,-0.5,740.0,130.0,19m,0.2,-0.3999999999999999,590.0,910,2m,0.2,0.0,730,50.0,30m,1.4000000000000001,-2.2,160.0,710.0,19m,2.4000000000000004,-3.1,950.0,870.0,6m,0.7000000000000001,-2.9,570.0,850.0,32m,3.3000000000000003,-2.5,660.0,30,32m,0.4,-2.5,1000,130.0,44m,1.6,-1.7999999999999998,730.0,5,COMPLETE
177,177,0.8733005119029025,2025-05-29 23:35:05.077094,2025-05-29 23:35:05.920642,0 days 00:00:00.843548,910.0,13m,2.4000000000000004,-1.1999999999999997,330.0,200.0,27m,2.4000000000000004,-0.5,740.0,130.0,49m,0.7000000000000001,-0.5999999999999996,570.0,830,52m,0.2,0.0,730,30.0,30m,1.4000000000000001,-2.3,190.0,410.0,19m,2.1,-3.1,950.0,950.0,4m,1.3,-3.1,600.0,840.0,43m,3.2,-2.8,700.0,210,32m,0.1,-2.6,1000,130.0,23m,1.7000000000000002,-2.0,730.0,5,COMPLETE
178,178,2.475887807761446,2025-05-29 23:35:05.924734,2025-05-29 23:35:06.777864,0 days 00:00:00.853130,950.0,13m,2.2,-1.1999999999999997,250.0,590.0,2m,2.3000000000000003,-0.09999999999999964,850.0,340.0,19m,0.1,-0.5,660.0,960,2m,0.4,-0.3999999999999999,600,50.0,42m,1.2000000000000002,-2.2,90.0,710.0,19m,2.3000000000000003,-3.3,790.0,880.0,6m,0.7000000000000001,-2.6,560.0,870.0,18m,3.3000000000000003,-2.5,660.0,750,16m,0.30000000000000004,-2.5,970,250.0,9m,1.5,-1.9,760.0,5,COMPLETE
179,179,1.441456532386264,2025-05-29 23:35:06.782026,2025-05-29 23:35:07.643720,0 days 00:00:00.861694,480.0,20m,2.1,-1.4,500.0,540.0,15m,2.2,0.0,730.0,380.0,41m,0.30000000000000004,-0.3999999999999999,590.0,790,2m,0.30000000000000004,-0.19999999999999973,630,140.0,44m,2.0,-1.9,160.0,670.0,17m,2.6,-0.2999999999999998,590.0,730.0,2m,0.30000000000000004,-3.3,580.0,820.0,32m,3.1,-2.7,640.0,60,32m,0.5,-3.0,910,480.0,44m,2.0,-1.7999999999999998,700.0,5,COMPLETE
180,180,-0.6730709237068317,2025-05-29 23:35:07.643720,2025-05-29 23:35:08.489227,0 days 00:00:00.845507,700.0,52m,2.3000000000000003,-0.7999999999999998,310.0,520.0,27m,1.4000000000000001,-1.0999999999999996,800.0,70.0,19m,0.5,0.0,700.0,890,30m,0.6000000000000001,-0.09999999999999964,660,10.0,32m,1.5,-2.0,300.0,720.0,40m,2.4000000000000004,-3.4,840.0,930.0,13m,0.5,-2.8,630.0,770.0,32m,3.3000000000000003,-2.3,530.0,720,19m,0.4,-1.9,950,180.0,31m,1.7000000000000002,-1.5,880.0,5,COMPLETE
181,181,-1.4506628093858565,2025-05-29 23:35:08.492205,2025-05-29 23:35:09.333877,0 days 00:00:00.841672,890.0,33m,2.1,-0.6999999999999997,440.0,450.0,40m,2.2,-0.2999999999999998,680.0,140.0,10m,2.0,-3.5,540.0,980,55m,0.1,-0.19999999999999973,720,100.0,26m,1.7000000000000002,-2.6,70.0,640.0,47m,2.8000000000000003,-3.2,970.0,980.0,26m,1.7000000000000002,-2.9,520.0,970.0,37m,3.0,-2.2,780.0,160,38m,2.5,-2.5,980,100.0,20m,2.1,-1.7,790.0,5,COMPLETE
182,182,0.0824657445475214,2025-05-29 23:35:09.333877,2025-05-29 23:35:10.178643,0 days 00:00:00.844766,980.0,49m,1.8,-0.3999999999999999,340.0,510.0,29m,2.6,-0.8999999999999999,620.0,40.0,49m,0.0,-0.2999999999999998,510.0,930,50m,0.5,0.0,610,170.0,10m,1.8,-1.7,210.0,830.0,27m,3.0,-3.0,1000.0,510.0,22m,0.2,-1.5999999999999999,480.0,940.0,34m,3.4000000000000004,-2.5,730.0,830,11m,0.7000000000000001,-2.4,1000,70.0,35m,1.6,-2.0999999999999996,620.0,5,COMPLETE
183,183,1.9241396230924155,2025-05-29 23:35:10.180735,2025-05-29 23:35:11.017152,0 days 00:00:00.836417,840.0,40m,2.0,-1.0999999999999996,390.0,300.0,45m,2.0,-0.5999999999999996,640.0,190.0,13m,0.2,-0.19999999999999973,470.0,910,17m,0.0,-0.09999999999999964,450,80.0,47m,1.3,-2.0999999999999996,140.0,750.0,43m,2.5,-2.9,910.0,870.0,45m,0.6000000000000001,-2.9,420.0,910.0,50m,3.5,-2.4,600.0,690,27m,0.2,-2.3,860,30.0,32m,2.9000000000000004,-1.4,670.0,5,COMPLETE
184,184,1.6661782993392222,2025-05-29 23:35:11.023327,2025-05-29 23:35:11.887914,0 days 00:00:00.864587,870.0,1m,1.9000000000000001,0.0,400.0,290.0,59m,1.9000000000000001,-0.5,580.0,400.0,18m,0.2,-0.3999999999999999,530.0,870,4m,0.1,0.0,520,50.0,35m,1.5,-2.3,110.0,910.0,35m,2.5,-3.1,930.0,820.0,25m,0.4,-3.1,70.0,860.0,25m,3.4000000000000004,-2.4,560.0,650,34m,0.30000000000000004,-2.3,900,60.0,6m,2.8000000000000003,-1.0,750.0,5,COMPLETE
185,185,-5.634672212562726,2025-05-29 23:35:11.889430,2025-05-29 23:35:12.780703,0 days 00:00:00.891273,920.0,45m,1.3,-0.19999999999999973,370.0,240.0,27m,1.8,-0.6999999999999997,660.0,440.0,57m,0.1,-0.2999999999999998,610.0,910,33m,0.2,-0.2999999999999998,680,70.0,17m,1.6,-2.2,160.0,770.0,16m,2.4000000000000004,-3.3,880.0,790.0,29m,0.8,-3.5,550.0,880.0,38m,3.5,-2.6,620.0,710,17m,0.1,-2.0,880,30.0,41m,3.0,-1.5,720.0,5,COMPLETE
186,186,2.6961400002360127,2025-05-29 23:35:12.781952,2025-05-29 23:35:13.641316,0 days 00:00:00.859364,540.0,15m,2.0,-0.3999999999999999,290.0,350.0,33m,2.1,-0.3999999999999999,780.0,470.0,7m,0.4,-0.09999999999999964,450.0,950,26m,0.30000000000000004,-0.19999999999999973,500,120.0,16m,1.7000000000000002,-2.0999999999999996,30.0,600.0,50m,1.5,-3.5,850.0,910.0,32m,0.5,-3.0,450.0,930.0,11m,3.3000000000000003,-0.19999999999999973,670.0,670,56m,0.4,-2.2,940,140.0,32m,3.3000000000000003,-1.1999999999999997,640.0,5,COMPLETE
187,187,1.749391129338959,2025-05-29 23:35:13.645150,2025-05-29 23:35:14.478024,0 days 00:00:00.832874,820.0,19m,1.7000000000000002,-1.0,360.0,320.0,32m,1.7000000000000002,-0.7999999999999998,510.0,370.0,54m,0.6000000000000001,-0.7999999999999998,500.0,90,21m,0.7000000000000001,-0.2999999999999998,580,90.0,23m,1.4000000000000001,-1.9,130.0,980.0,57m,2.6,-3.3,950.0,850.0,34m,0.30000000000000004,-2.7,370.0,840.0,36m,3.5,-2.5,580.0,10,56m,3.2,-2.7,840,100.0,18m,2.5,-1.5999999999999999,670.0,5,COMPLETE
188,188,1.575495727061556,2025-05-29 23:35:14.481051,2025-05-29 23:35:15.336993,0 days 00:00:00.855942,890.0,31m,2.2,-0.09999999999999964,430.0,410.0,22m,1.9000000000000001,-0.5999999999999996,600.0,220.0,13m,0.30000000000000004,-0.19999999999999973,410.0,1000,7m,0.4,-0.09999999999999964,550,510.0,47m,1.9000000000000001,-2.4,100.0,800.0,29m,2.7,-2.7,810.0,830.0,51m,0.6000000000000001,-3.3,510.0,960.0,53m,3.2,-2.0999999999999996,510.0,740,36m,0.30000000000000004,-2.2,970,10.0,40m,1.8,-1.2999999999999998,700.0,5,COMPLETE
189,189,1.3748281354001635,2025-05-29 23:35:15.336993,2025-05-29 23:35:16.197370,0 days 00:00:00.860377,760.0,39m,2.3000000000000003,-0.5,470.0,560.0,11m,1.5,-0.19999999999999973,660.0,420.0,27m,0.1,-0.09999999999999964,490.0,930,16m,0.0,0.0,740,40.0,52m,2.1,-2.0,180.0,850.0,22m,2.9000000000000004,-3.0,750.0,1000.0,7m,0.7000000000000001,-3.2,480.0,900.0,28m,3.4000000000000004,-2.2,630.0,770,45m,0.5,-2.0999999999999996,910,70.0,44m,3.5,-2.3,770.0,5,COMPLETE
190,190,-1.0233510590024957,2025-05-29 23:35:16.197370,2025-05-29 23:35:17.035470,0 days 00:00:00.838100,860.0,50m,1.4000000000000001,-0.2999999999999998,410.0,450.0,28m,2.0,-0.5,700.0,490.0,11m,0.2,-0.3999999999999999,190.0,890,57m,0.2,-0.3999999999999999,760,60.0,2m,2.2,-2.3,30.0,690.0,2m,2.2,-1.5,910.0,750.0,39m,0.4,-2.9,400.0,800.0,3m,3.1,-2.3,700.0,700,46m,0.1,-2.6,950,120.0,4m,2.7,-1.7999999999999998,730.0,5,COMPLETE
191,191,2.561153071395824,2025-05-29 23:35:17.038046,2025-05-29 23:35:17.883988,0 days 00:00:00.845942,950.0,22m,2.1,-0.8999999999999999,330.0,490.0,57m,2.3000000000000003,-0.3999999999999999,630.0,540.0,12m,0.0,0.0,380.0,980,35m,0.1,-0.09999999999999964,470,110.0,20m,1.5,-2.2,70.0,720.0,25m,1.9000000000000001,-3.2,880.0,610.0,38m,0.0,-2.8,340.0,920.0,11m,3.3000000000000003,-2.7,660.0,730,9m,0.2,-1.7999999999999998,890,40.0,51m,1.5,-2.0,690.0,5,COMPLETE
192,192,-0.700865524239237,2025-05-29 23:35:17.890738,2025-05-29 23:35:18.712176,0 days 00:00:00.821438,910.0,43m,1.9000000000000001,0.0,200.0,260.0,37m,2.2,0.0,770.0,260.0,13m,2.3000000000000003,-2.3,580.0,840,9m,0.8,-0.5,640,150.0,50m,1.8,-1.7999999999999998,530.0,760.0,30m,2.3000000000000003,-3.4,840.0,470.0,43m,0.9,-3.4,600.0,880.0,31m,3.5,-2.9,560.0,790,18m,0.0,-2.4,790,200.0,36m,2.9000000000000004,-1.0999999999999996,810.0,5,COMPLETE
193,193,2.906964459670374,2025-05-29 23:35:18.712686,2025-05-29 23:35:19.538376,0 days 00:00:00.825690,850.0,10m,2.2,-0.8999999999999999,370.0,160.0,18m,1.8,-0.6999999999999997,550.0,420.0,38m,0.2,-0.2999999999999998,490.0,910,14m,0.4,-0.19999999999999973,420,80.0,28m,1.6,-2.2,160.0,770.0,13m,2.7,-3.1,410.0,900.0,34m,0.2,-2.7,490.0,950.0,43m,3.4000000000000004,-2.6,600.0,640,33m,0.30000000000000004,-2.0999999999999996,930,90.0,58m,3.1,-1.1999999999999997,730.0,5,COMPLETE
194,194,3.394146398198565,2025-05-29 23:35:19.539600,2025-05-29 23:35:20.591898,0 days 00:00:01.052298,880.0,13m,2.4000000000000004,-1.0,390.0,140.0,7m,1.6,-0.5999999999999996,580.0,400.0,13m,0.30000000000000004,-0.2999999999999998,540.0,960,14m,0.4,-0.19999999999999973,450,80.0,45m,1.6,-2.0999999999999996,150.0,810.0,42m,2.6,-3.1,880.0,880.0,56m,0.1,-0.3999999999999999,450.0,940.0,14m,3.4000000000000004,-2.4,580.0,680,33m,0.30000000000000004,-2.3,930,50.0,5m,3.2,-1.2999999999999998,750.0,5,COMPLETE
195,195,-3.688755187965871,2025-05-29 23:35:20.601323,2025-05-29 23:35:21.982846,0 days 00:00:01.381523,940.0,13m,2.4000000000000004,-1.2999999999999998,390.0,140.0,44m,1.6,-0.5999999999999996,580.0,10.0,33m,0.30000000000000004,-0.5,550.0,960,37m,0.30000000000000004,-0.19999999999999973,480,30.0,30m,1.3,-2.0999999999999996,140.0,800.0,42m,2.5,-2.9,920.0,870.0,46m,0.2,-0.3999999999999999,440.0,990.0,6m,3.3000000000000003,-2.4,580.0,670,21m,0.4,-2.3,860,60.0,5m,3.2,-1.4,650.0,5,COMPLETE
196,196,0.7691316040013403,2025-05-29 23:35:21.982846,2025-05-29 23:35:23.333629,0 days 00:00:01.350783,800.0,24m,2.7,-1.1999999999999997,420.0,210.0,7m,1.3,-0.5999999999999996,610.0,450.0,1m,0.4,-0.19999999999999973,520.0,930,11m,0.5,-0.09999999999999964,440,130.0,33m,1.7000000000000002,-2.5,100.0,730.0,6m,2.6,-3.2,950.0,840.0,56m,0.30000000000000004,-1.7999999999999998,530.0,900.0,14m,3.5,-2.5,610.0,690,40m,0.6000000000000001,-2.5,960,30.0,43m,3.0,-0.7999999999999998,760.0,5,COMPLETE
197,197,0.01750838775866499,2025-05-29 23:35:23.343976,2025-05-29 23:35:24.749151,0 days 00:00:01.405175,880.0,4m,1.5,-1.0,310.0,110.0,7m,1.7000000000000002,-0.2999999999999998,570.0,400.0,13m,0.1,-0.19999999999999973,680.0,860,3m,0.6000000000000001,-0.2999999999999998,520,60.0,19m,2.0,-2.0,200.0,820.0,42m,2.4000000000000004,-3.1,890.0,930.0,18m,0.0,-0.5,450.0,970.0,14m,3.4000000000000004,-2.3,640.0,750,25m,0.2,-2.3,990,80.0,5m,3.4000000000000004,-1.0,710.0,5,COMPLETE
198,198,-0.5011862335808007,2025-05-29 23:35:24.759622,2025-05-29 23:35:26.071091,0 days 00:00:01.311469,340.0,51m,2.1,-0.19999999999999973,270.0,230.0,10m,1.9000000000000001,-0.7999999999999998,670.0,360.0,50m,0.5,-0.5999999999999996,640.0,970,59m,0.4,0.0,380,100.0,38m,1.4000000000000001,-1.9,120.0,890.0,51m,2.9000000000000004,-3.3,860.0,790.0,34m,0.6000000000000001,-2.5,470.0,860.0,41m,3.2,-2.4,540.0,720,6m,0.4,-2.2,920,10.0,26m,2.8000000000000003,-1.2999999999999998,780.0,5,COMPLETE
199,199,1.9941809549526406,2025-05-29 23:35:26.081250,2025-05-29 23:35:27.436484,0 days 00:00:01.355234,920.0,32m,2.3000000000000003,-0.2999999999999998,350.0,280.0,4m,2.4000000000000004,-0.5,640.0,390.0,13m,0.30000000000000004,-0.09999999999999964,460.0,890,18m,0.30000000000000004,-0.09999999999999964,620,20.0,47m,1.8,-2.3,50.0,660.0,31m,2.6,-3.0,710.0,880.0,42m,0.5,-0.8999999999999999,410.0,920.0,7m,3.5,-2.2,680.0,760,57m,0.1,-2.8,900,50.0,32m,2.6,-0.8999999999999999,750.0,5,COMPLETE
