,number,value,datetime_start,datetime_complete,duration,params_ASML_ISRG_beta_win,params_ASML_ISRG_trade_freq,params_ASML_ISRG_z_entry,params_ASML_ISRG_z_exit,params_ASML_ISRG_z_win,params_CELG_IDXX_beta_win,params_CELG_IDXX_trade_freq,params_CELG_IDXX_z_entry,params_CELG_IDXX_z_exit,params_CELG_IDXX_z_win,params_CSX_MAR_beta_win,params_CSX_MAR_trade_freq,params_CSX_MAR_z_entry,params_CSX_MAR_z_exit,params_CSX_MAR_z_win,params_ILMN_INCY_beta_win,params_ILMN_INCY_trade_freq,params_ILMN_INCY_z_entry,params_ILMN_INCY_z_exit,params_ILMN_INCY_z_win,params_LRCX_CHTR_beta_win,params_LRCX_CHTR_trade_freq,params_LRCX_CHTR_z_entry,params_LRCX_CHTR_z_exit,params_LRCX_CHTR_z_win,params_MSFT_VRTX_beta_win,params_MSFT_VRTX_trade_freq,params_MSFT_VRTX_z_entry,params_MSFT_VRTX_z_exit,params_MSFT_VRTX_z_win,params_NFLX_IDXX_beta_win,params_NFLX_IDXX_trade_freq,params_NFLX_IDXX_z_entry,params_NFLX_IDXX_z_exit,params_NFLX_IDXX_z_win,params_TTWO_SWKS_beta_win,params_TTWO_SWKS_trade_freq,params_TTWO_SWKS_z_entry,params_TTWO_SWKS_z_exit,params_TTWO_SWKS_z_win,params_WDC_CERN_beta_win,params_WDC_CERN_trade_freq,params_WDC_CERN_z_entry,params_WDC_CERN_z_exit,params_WDC_CERN_z_win,params_WYNN_ADSK_beta_win,params_WYNN_ADSK_trade_freq,params_WYNN_ADSK_z_entry,params_WYNN_ADSK_z_exit,params_WYNN_ADSK_z_win,params_pairs_to_trade,state
31,31,,2025-05-29 23:33:10.210926,2025-05-29 23:33:10.545328,0 days 00:00:00.334402,,,,,,,,,,,,,,,,790,38m,1.0,-0.3999999999999999,920,,,,,,,,,,,,,,,,,,,,,500,42m,0.8,-2.0,750,,,,,,1,FAIL
32,32,,2025-05-29 23:33:10.561061,2025-05-29 23:33:10.878968,0 days 00:00:00.317907,,,,,,,,,,,,,,,,730,35m,0.9,-0.19999999999999973,910,,,,,,,,,,,,,,,,,,,,,480,42m,0.8,-1.9,770,,,,,,1,FAIL
33,33,,2025-05-29 23:33:10.897915,2025-05-29 23:33:11.236266,0 days 00:00:00.338351,,,,,,,,,,,,,,,,770,31m,0.9,-0.3999999999999999,950,,,,,,,,,,,,,,,,,,,,,480,42m,0.8,-2.0,740,,,,,,1,FAIL
34,34,,2025-05-29 23:33:11.236266,2025-05-29 23:33:11.578977,0 days 00:00:00.342711,,,,,,,,,,,,,,,,740,31m,0.9,-0.3999999999999999,970,,,,,,,,,,,,,,,,,,,,,490,42m,0.8,-1.9,740,,,,,,1,FAIL
35,35,,2025-05-29 23:33:11.594662,2025-05-29 23:33:11.934689,0 days 00:00:00.340027,,,,,,,,,,,,,,,,770,31m,1.1,-0.2999999999999998,950,,,,,,,,,,,,,,,,,,,,,510,42m,0.7000000000000001,-2.0,780,,,,,,1,FAIL
36,36,2.4906610481304217,2025-05-29 23:33:11.942819,2025-05-29 23:33:12.483122,0 days 00:00:00.540303,120.0,41m,0.4,-2.2,190.0,,,,,,,,,,,760,31m,1.1,-0.2999999999999998,590,,,,,,,,,,,,,,,,840.0,42m,3.0,-1.7,810.0,490,42m,0.8,-2.0,720,,,,,,2,COMPLETE
37,37,,2025-05-29 23:33:12.504635,2025-05-29 23:33:12.863475,0 days 00:00:00.358840,,,,,,,,,,,,,,,,970,31m,0.7000000000000001,-0.5999999999999996,960,,,,,,,,,,,,,,,,,,,,,520,42m,0.30000000000000004,-0.5,460,,,,,,1,FAIL
38,38,,2025-05-29 23:33:12.879392,2025-05-29 23:33:13.227002,0 days 00:00:00.347610,,,,,,,,,,,,,,,,990,31m,0.7000000000000001,-0.8999999999999999,990,,,,,,,,,,,,,,,,,,,,,530,32m,0.0,-0.5999999999999996,470,,,,,,1,FAIL
39,39,,2025-05-29 23:33:13.227002,2025-05-29 23:33:13.601534,0 days 00:00:00.374532,,,,,,,,,,,,,,,,1000,31m,0.8,-0.7999999999999998,950,,,,,,,,,,,,,,,,,,,,,540,42m,0.4,-0.6999999999999997,820,,,,,,1,FAIL
40,40,,2025-05-29 23:33:13.605779,2025-05-29 23:33:13.948842,0 days 00:00:00.343063,,,,,,,,,,,,,,,,1000,31m,0.8,-0.7999999999999998,940,,,,,,,,,,,,,,,,,,,,,490,42m,0.30000000000000004,-0.5999999999999996,460,,,,,,1,FAIL
41,41,,2025-05-29 23:33:13.964827,2025-05-29 23:33:14.323381,0 days 00:00:00.358554,,,,,,,,,,,,,,,,950,14m,0.8,-0.7999999999999998,970,,,,,,,,,,,,,,,,,,,,,530,58m,0.30000000000000004,-0.5999999999999996,470,,,,,,1,FAIL
42,42,,2025-05-29 23:33:14.323381,2025-05-29 23:33:14.681946,0 days 00:00:00.358565,,,,,,,,,,,,,,,,920,31m,0.8,-0.7999999999999998,960,,,,,,,,,,,,,,,,,,,,,510,42m,0.30000000000000004,-0.5999999999999996,460,,,,,,1,FAIL
43,43,,2025-05-29 23:33:14.696133,2025-05-29 23:33:15.070262,0 days 00:00:00.374129,,,,,,,,,,,,,,,,1000,46m,0.8,-0.7999999999999998,960,,,,,,,,,,,,,,,,,,,,,500,42m,0.30000000000000004,-0.6999999999999997,470,,,,,,1,FAIL
44,44,0.4531054700054066,2025-05-29 23:33:15.088238,2025-05-29 23:33:16.089544,0 days 00:00:01.001306,150.0,41m,0.30000000000000004,-2.9,350.0,120.0,28m,2.9000000000000004,-1.5,870.0,600.0,28m,1.7000000000000002,-1.7,620.0,1000,31m,0.7000000000000001,-0.6999999999999997,980,800.0,59m,1.0,-2.0,190.0,,,,,,,,,,,1000.0,22m,2.1,-2.3,610.0,510,42m,0.30000000000000004,-0.5,450,210.0,58m,2.1,-0.6999999999999997,880.0,4,COMPLETE
45,45,,2025-05-29 23:33:16.105387,2025-05-29 23:33:16.453738,0 days 00:00:00.348351,,,,,,,,,,,,,,,,880,38m,1.3,-2.5,880,,,,,,,,,,,,,,,,,,,,,660,48m,0.0,-3.0,840,,,,,,1,FAIL
46,46,,2025-05-29 23:33:16.453738,2025-05-29 23:33:16.811984,0 days 00:00:00.358246,,,,,,,,,,,,,,,,730,26m,1.4000000000000001,-2.5,880,,,,,,,,,,,,,,,,,,,,,660,33m,0.0,-3.0,120,,,,,,1,FAIL
47,47,-0.627077707537398,2025-05-29 23:33:16.811984,2025-05-29 23:33:17.186097,0 days 00:00:00.374113,,,,,,,,,,,,,,,,730,44m,1.4000000000000001,-0.19999999999999973,880,,,,,,,,,,,,,,,,,,,,,680,20m,0.0,-2.8,110,,,,,,1,COMPLETE
48,48,-2.350016525414784,2025-05-29 23:33:17.196406,2025-05-29 23:33:17.999633,0 days 00:00:00.803227,320.0,25m,0.7000000000000001,-2.2,380.0,680.0,44m,1.8,-3.4,10.0,730.0,57m,1.3,-0.5,840.0,870,56m,0.1,-2.5,200,,,,,,,,,,,,,,,,750.0,17m,1.3,-3.1,860.0,460,7m,1.1,-1.2999999999999998,840,,,,,,3,COMPLETE
49,49,0.06205292035838352,2025-05-29 23:33:18.012755,2025-05-29 23:33:19.230411,0 days 00:00:01.217656,80.0,15m,0.0,-1.5999999999999999,510.0,360.0,18m,2.3000000000000003,-1.0,580.0,340.0,18m,3.5,-3.4,1000.0,930,32m,1.3,-1.5999999999999999,660,280.0,33m,1.4000000000000001,-3.2,430.0,350.0,49m,1.1,-1.5,350.0,310.0,44m,1.1,-3.5,670.0,620.0,32m,2.3000000000000003,-2.3,410.0,290,49m,0.7000000000000001,-2.3,650,730.0,51m,3.2,-2.0999999999999996,640.0,5,COMPLETE
50,50,-0.10069942144262427,2025-05-29 23:33:19.238954,2025-05-29 23:33:19.830495,0 days 00:00:00.591541,470.0,11m,1.8,-2.0999999999999996,140.0,,,,,,,,,,,790,20m,2.1,-0.8999999999999999,20,,,,,,,,,,,,,,,,930.0,26m,3.5,-0.3999999999999999,550.0,630,59m,0.30000000000000004,-1.7,470,,,,,,2,COMPLETE
51,51,,2025-05-29 23:33:19.840779,2025-05-29 23:33:20.196310,0 days 00:00:00.355531,,,,,,,,,,,,,,,,580,15m,1.8,-0.6999999999999997,370,,,,,,,,,,,,,,,,,,,,,840,24m,1.8,-0.8999999999999999,610,,,,,,1,FAIL
52,52,,2025-05-29 23:33:20.196310,2025-05-29 23:33:20.564168,0 days 00:00:00.367858,,,,,,,,,,,,,,,,440,45m,2.4000000000000004,-0.5999999999999996,360,,,,,,,,,,,,,,,,,,,,,840,55m,0.6000000000000001,-0.7999999999999998,610,,,,,,1,FAIL
53,53,,2025-05-29 23:33:20.564168,2025-05-29 23:33:20.928004,0 days 00:00:00.363836,,,,,,,,,,,,,,,,910,16m,1.8,-0.6999999999999997,390,,,,,,,,,,,,,,,,,,,,,790,55m,1.8,-0.7999999999999998,610,,,,,,1,FAIL
54,54,,2025-05-29 23:33:20.928004,2025-05-29 23:33:21.273009,0 days 00:00:00.345005,,,,,,,,,,,,,,,,440,33m,1.8,-0.5999999999999996,830,,,,,,,,,,,,,,,,,,,,,190,54m,1.8,-0.7999999999999998,620,,,,,,1,FAIL
