,number,value,datetime_start,datetime_complete,duration,params_ALGN_CTAS_beta_win,params_ALGN_CTAS_trade_freq,params_ALGN_CTAS_z_entry,params_ALGN_CTAS_z_exit,params_ALGN_CTAS_z_win,params_BKNG_FOXA_beta_win,params_BKNG_FOXA_trade_freq,params_BKNG_FOXA_z_entry,params_BKNG_FOXA_z_exit,params_BKNG_FOXA_z_win,params_BKNG_FOX_beta_win,params_BKNG_FOX_trade_freq,params_BKNG_FOX_z_entry,params_BKNG_FOX_z_exit,params_BKNG_FOX_z_win,params_CDNS_ANSS_beta_win,params_CDNS_ANSS_trade_freq,params_CDNS_ANSS_z_entry,params_CDNS_ANSS_z_exit,params_CDNS_ANSS_z_win,params_CSX_NTAP_beta_win,params_CSX_NTAP_trade_freq,params_CSX_NTAP_z_entry,params_CSX_NTAP_z_exit,params_CSX_NTAP_z_win,params_ISRG_PCAR_beta_win,params_ISRG_PCAR_trade_freq,params_ISRG_PCAR_z_entry,params_ISRG_PCAR_z_exit,params_ISRG_PCAR_z_win,params_LULU_ALGN_beta_win,params_LULU_ALGN_trade_freq,params_LULU_ALGN_z_entry,params_LULU_ALGN_z_exit,params_LULU_ALGN_z_win,params_MAR_FOXA_beta_win,params_MAR_FOXA_trade_freq,params_MAR_FOXA_z_entry,params_MAR_FOXA_z_exit,params_MAR_FOXA_z_win,params_MAR_FOX_beta_win,params_MAR_FOX_trade_freq,params_MAR_FOX_z_entry,params_MAR_FOX_z_exit,params_MAR_FOX_z_win,params_MCHP_ALGN_beta_win,params_MCHP_ALGN_trade_freq,params_MCHP_ALGN_z_entry,params_MCHP_ALGN_z_exit,params_MCHP_ALGN_z_win,params_PYPL_MELI_beta_win,params_PYPL_MELI_trade_freq,params_PYPL_MELI_z_entry,params_PYPL_MELI_z_exit,params_PYPL_MELI_z_win,params_SWKS_CTAS_beta_win,params_SWKS_CTAS_trade_freq,params_SWKS_CTAS_z_entry,params_SWKS_CTAS_z_exit,params_SWKS_CTAS_z_win,params_TMUS_NTES_beta_win,params_TMUS_NTES_trade_freq,params_TMUS_NTES_z_entry,params_TMUS_NTES_z_exit,params_TMUS_NTES_z_win,params_ULTA_ROST_beta_win,params_ULTA_ROST_trade_freq,params_ULTA_ROST_z_entry,params_ULTA_ROST_z_exit,params_ULTA_ROST_z_win,params_WBA_XEL_beta_win,params_WBA_XEL_trade_freq,params_WBA_XEL_z_entry,params_WBA_XEL_z_exit,params_WBA_XEL_z_win,params_pairs_to_trade,state
117,117,0.39337013544132876,2025-05-29 23:50:06.217156,2025-05-29 23:50:06.708483,0 days 00:00:00.491327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,7m,3.4000000000000004,-1.7999999999999998,830,,,,,,,,,,,80,22m,0.9,-2.6,700,,,,,,,,,,,,,,,,440,18m,1.2000000000000002,-1.7,420,1,COMPLETE
118,118,-1.5570950496030345,2025-05-29 23:50:06.708483,2025-05-29 23:50:07.522293,0 days 00:00:00.813810,580.0,53m,0.9,-1.5999999999999999,680.0,810.0,7m,2.5,-0.3999999999999999,170.0,,,,,,420.0,25m,2.9000000000000004,-3.1,150.0,,,,,,,,,,,,,,,,590,23m,1.0,-1.2999999999999998,280,,,,,,,,,,,130,2m,2.2,-2.2,560,,,,,,,,,,,,,,,,710,33m,2.2,-1.5999999999999999,570,2,COMPLETE
119,119,1.1009359786901511,2025-05-29 23:50:07.538405,2025-05-29 23:50:08.017177,0 days 00:00:00.478772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,38m,3.0,-1.5,760,,,,,,,,,,,400,5m,1.4000000000000001,-2.3,430,,,,,,,,,,,,,,,,140,21m,3.4000000000000004,-1.2999999999999998,340,1,COMPLETE
120,120,-2.050713809804775,2025-05-29 23:50:08.022176,2025-05-29 23:50:08.521535,0 days 00:00:00.499359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,6m,0.1,-1.5999999999999999,720,,,,,,,,,,,250,55m,0.4,-0.5999999999999996,890,,,,,,,,,,,,,,,,30,14m,2.8000000000000003,-1.7999999999999998,180,1,COMPLETE
121,121,0.07504254938152637,2025-05-29 23:50:08.521535,2025-05-29 23:50:09.038893,0 days 00:00:00.517358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,47m,0.4,-1.4,890,,,,,,,,,,,210,41m,0.6000000000000001,-2.4,380,,,,,,,,,,,,,,,,780,42m,2.9000000000000004,-2.4,500,1,COMPLETE
122,122,-0.1991870690310526,2025-05-29 23:50:09.057402,2025-05-29 23:50:09.584276,0 days 00:00:00.526874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,47m,0.5,-1.1999999999999997,880,,,,,,,,,,,60,9m,0.8,-2.0999999999999996,460,,,,,,,,,,,,,,,,880,19m,3.0,-2.0999999999999996,490,1,COMPLETE
123,123,-1.5316411861883783,2025-05-29 23:50:09.588177,2025-05-29 23:50:10.119334,0 days 00:00:00.531157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,24m,0.6000000000000001,-1.2999999999999998,870,,,,,,,,,,,280,9m,0.1,-2.3,400,,,,,,,,,,,,,,,,840,15m,2.9000000000000004,-2.4,540,1,COMPLETE
124,124,,2025-05-29 23:50:10.125014,2025-05-29 23:50:10.632333,0 days 00:00:00.507319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,56m,0.30000000000000004,-0.5999999999999996,980,,,,,,,,,,,520,26m,0.5,-2.5,670,,,,,,,,,,,,,,,,810,42m,3.1,-3.2,380,1,FAIL
125,125,1.4835431386750826,2025-05-29 23:50:10.648474,2025-05-29 23:50:11.183052,0 days 00:00:00.534578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,8m,0.30000000000000004,-1.0999999999999996,980,,,,,,,,,,,520,49m,0.5,-1.9,420,,,,,,,,,,,,,,,,340,42m,3.1,-3.2,440,1,COMPLETE
126,126,,2025-05-29 23:50:11.183052,2025-05-29 23:50:11.745176,0 days 00:00:00.562124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,19m,0.2,-0.5,980,,,,,,,,,,,470,48m,0.30000000000000004,-1.9,490,,,,,,,,,,,,,,,,340,42m,3.1,-3.2,450,1,FAIL
127,127,,2025-05-29 23:50:11.745176,2025-05-29 23:50:12.261107,0 days 00:00:00.515931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,37m,2.1,0.0,970,,,,,,,,,,,510,49m,0.30000000000000004,-1.9,490,,,,,,,,,,,,,,,,390,44m,3.1,-3.2,450,1,FAIL
128,128,-1.5569110962070667,2025-05-29 23:50:12.276824,2025-05-29 23:50:13.413541,0 days 00:00:01.136717,690.0,17m,2.9000000000000004,-1.0999999999999996,790.0,610.0,26m,2.2,-1.7,430.0,,,,,,620.0,55m,0.5,-0.3999999999999999,860.0,180.0,44m,2.3000000000000003,-0.5999999999999996,150.0,,,,,,,,,,,520,28m,0.2,-1.0999999999999996,990,150.0,19m,0.6000000000000001,0.0,10.0,720.0,9m,0.0,-2.2,130.0,520,26m,0.30000000000000004,-1.9,300,,,,,,,,,,,,,,,,340,34m,3.1,-3.3,430,3,COMPLETE
129,129,-0.2297318259365027,2025-05-29 23:50:13.418394,2025-05-29 23:50:13.973019,0 days 00:00:00.554625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,8m,2.1,-0.5,930,,,,,,,,,,,460,50m,0.5,-1.5999999999999999,480,,,,,,,,,,,,,,,,420,49m,3.3000000000000003,-3.2,450,1,COMPLETE
130,130,-1.389332249410288,2025-05-29 23:50:13.977026,2025-05-29 23:50:14.497303,0 days 00:00:00.520277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,45m,3.2,-2.0999999999999996,500,,,,,,,,,,,1000,49m,0.2,-0.19999999999999973,670,,,,,,,,,,,,,,,,390,54m,2.6,-3.5,40,1,COMPLETE
131,131,,2025-05-29 23:50:14.497303,2025-05-29 23:50:15.044401,0 days 00:00:00.547098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,8m,3.5,-0.6999999999999997,980,,,,,,,,,,,490,57m,2.0,-1.7999999999999998,210,,,,,,,,,,,,,,,,490,44m,2.8000000000000003,-3.4,400,1,FAIL
