,number,value,datetime_start,datetime_complete,duration,params_buffer_capital,params_pairs_to_trade,params_synprice_QQQ_beta_win,params_synprice_QQQ_stop_loss,params_synprice_QQQ_trade_freq,params_synprice_QQQ_z_entry,params_synprice_QQQ_z_exit,params_synprice_QQQ_z_stop_scaler,params_synprice_QQQ_z_win,state
63,63,-0.02799650709394973,2025-06-20 21:05:02.803824,2025-06-20 21:05:03.035296,0 days 00:00:00.231472,0.5,2,488,0.05,7m,1.3,1.3,1.5,656,COMPLETE
64,64,-100.0,2025-06-20 21:05:03.051120,2025-06-20 21:05:03.275836,0 days 00:00:00.224716,0.35000000000000003,2,560,0.05,7m,1.3,1.3,1.6,672,COMPLETE
65,65,-0.015561930954581202,2025-06-20 21:05:03.290855,2025-06-20 21:05:03.538262,0 days 00:00:00.247407,0.45,1,488,0.05,6m,1.0,1.2000000000000002,1.5,776,COMPLETE
66,66,-0.20666619625167398,2025-06-20 21:05:03.554190,2025-06-20 21:05:03.788508,0 days 00:00:00.234318,0.4,2,488,0.05,10m,1.2000000000000002,1.2000000000000002,1.5,808,COMPLETE
67,67,-100.0,2025-06-20 21:05:03.804443,2025-06-20 21:05:04.036025,0 days 00:00:00.231582,0.45,1,456,0.05,6m,1.3,1.1,1.6,936,COMPLETE
68,68,-0.0009989175166603564,2025-06-20 21:05:04.058045,2025-06-20 21:05:04.291142,0 days 00:00:00.233097,0.45,2,576,0.05,6m,1.2000000000000002,1.3,1.5,776,COMPLETE
69,69,-0.16967560381762425,2025-06-20 21:05:04.306909,2025-06-20 21:05:04.572387,0 days 00:00:00.265478,0.45,2,768,0.05,6m,1.2000000000000002,1.2000000000000002,1.5,776,COMPLETE
70,70,-0.012461598260848377,2025-06-20 21:05:04.588192,2025-06-20 21:05:04.821571,0 days 00:00:00.233379,0.4,1,608,0.05,6m,0.9,1.3,1.5,848,COMPLETE
71,71,-0.07872776693339638,2025-06-20 21:05:04.839635,2025-06-20 21:05:05.064387,0 days 00:00:00.224752,0.4,1,584,0.05,6m,0.9,1.3,1.5,896,COMPLETE
72,72,-100.0,2025-06-20 21:05:05.083734,2025-06-20 21:05:05.311706,0 days 00:00:00.227972,0.45,1,648,0.05,6m,1.0,1.3,1.4000000000000001,808,COMPLETE
73,73,-0.5615702286747216,2025-06-20 21:05:05.327098,2025-06-20 21:05:05.551493,0 days 00:00:00.224395,0.45,2,688,0.05,6m,0.8,1.2000000000000002,1.5,840,COMPLETE
74,74,-0.05761447771262369,2025-06-20 21:05:05.562309,2025-06-20 21:05:05.798035,0 days 00:00:00.235726,0.4,1,608,0.05,6m,1.0,1.3,1.5,704,COMPLETE
